interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
11,"[41.027550260610575, 24.59886447790669, 54.540376140525105, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[817.3150778585263, 292.3127804182906, 5045.651318726499, 0, 0, 0]","[3211.6849221414736, 7809.6872195817095, 11065.348681273501, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1653, 1993, 8787, 0, 0, 0]","[1333.0857333333336, 2239.7562666666663, 154.4884, 0, 0, 0]","[0.03266666666666666, 0.0006666666666666666, 0.10733333333333332, 0, 0, 0]","[0.09413333333333333, 0.0024, 0.11159999999999998, 0, 0, 0]","[2961.9142666666667, 14940.243733333333, 34205.5116, 4295, 17180, 34360]","[371.96733333333333, 359.9993333333333, 376.4326666666667, 372.0, 360.0, 376.54]","[199.90586666666667, 304.9976, 266.6384, 200.0, 305.0, 266.75]","[(4, 0.0, 0.007855555555555555), (3, 0.04548333333333333, 0.018477777777777777), (6, 0.0, 0.0033499999999999997), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.102144444444443), (16102, 51.85451666666667, 6.1715222222222215), (32206, 58.2, 11.63665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
12,"[40.23330851327873, 29.511231794618613, 49.742412016634596, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[351.85819874000236, 1055.12586051913, 3638.680044737774, 0, 0, 0]","[3677.1418012599975, 7046.87413948087, 12472.319955262226, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1621, 2391, 8014, 0, 0, 0]","[675.2793333333333, 2410.3255999999997, 482.3416000000001, 0, 0, 0]","[0.016933333333333335, 0.00013333333333333337, 0.019066666666666666, 0, 0, 0]","[0.045066666666666665, 0.0017333333333333335, 0.007866666666666666, 0, 0, 0]","[3619.7206666666666, 14769.6744, 33877.6584, 4295, 17180, 34360]","[371.9830666666667, 359.99986666666666, 376.52093333333335, 372.0, 360.0, 376.54]","[199.95493333333334, 304.99826666666667, 266.74213333333336, 200.0, 305.0, 266.75]","[(5, 0.0, 0.004122222222222222), (3, 0.0, 0.002511111111111111), (5, 0.0, 0.003455555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.105877777777778), (16102, 51.900000000000006, 6.187488888888889), (32207, 58.2, 11.636544444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
13,"[26.6319185902209, 50.691187361145396, 35.06300043448575, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[660.4472034961242, 3752.945433368761, 3978.0938152041817, 0, 0, 0]","[3368.552796503876, 4349.054566631239, 12132.906184795818, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1073, 4107, 5649, 0, 0, 0]","[39.2316, 4826.243466666667, 211.11066666666667, 0, 0, 0]","[0.0, 0.004266666666666667, 0.012533333333333334, 0, 0, 0]","[0.0, 0.0036, 0.004533333333333333, 0, 0, 0]","[4255.7684, 12353.756533333333, 34148.88933333333, 4295, 17180, 34360]","[372.0, 359.9957333333333, 376.52746666666667, 372.0, 360.0, 376.54]","[200.0, 304.9964, 266.7454666666667, 200.0, 305.0, 266.75]","[(5, 0.0, 9.999999999999999e-05), (6, 0.037733333333333334, 0.015383333333333332), (4, 0.0, 0.0017333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.1099), (16099, 51.86226666666667, 6.174616666666666), (32208, 58.2, 11.638266666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
14,"[42.367833209233055, 50.691187361145396, 35.06300043448575, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[421.4356608994527, 2346.188172934946, 0, 0, 0, 0]","[3607.5643391005474, 5755.811827065054, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1707, 4107, 5649, 0, 0, 0]","[38.79506666666667, 4380.946933333333, 334.1436, 0, 0, 0]","[0.0, 0.0005333333333333334, 0.012133333333333335, 0, 0, 0]","[0.0, 0.0038666666666666667, 0.0044, 0, 0, 0]","[4256.204933333333, 12799.053066666667, 34025.8564, 4295, 17180, 34360]","[372.0, 359.99946666666665, 376.5278666666667, 372.0, 360.0, 376.54]","[200.0, 304.9961333333333, 266.7456, 200.0, 305.0, 266.75]","[(8, 0.0, 0.00016666666666666666), (6, 0.00875, 0.002483333333333333), (4, 0.0, 0.001422222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.109833333333333), (16099, 51.89125000000001, 6.187516666666666), (32208, 58.2, 11.638577777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
15,"[35.244477537850585, 59.66428042458652, 13.878716404940725, 0.0, 0.0, 0.0]","[2, 4, 1, 0, 0, 0]","[1137.0055825080328, 3133.482719183349, 1075.2614052479814, 0, 0, 0]","[2891.9944174919674, 4968.517280816651, 15035.738594752018, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1420, 4834, 2236, 0, 0, 0]","[178.77973333333333, 3539.9882666666667, 72.7012, 0, 0, 0]","[0.012666666666666665, 1.3833333333333335, 0.009333333333333334, 0, 0, 0]","[0.009733333333333332, 2.9438666666666666, 0.00013333333333333337, 0, 0, 0]","[4116.220266666666, 13640.011733333333, 34287.2988, 4295, 17180, 34360]","[371.9873333333333, 358.6166666666667, 376.53066666666666, 372.0, 360.0, 376.54]","[199.99026666666666, 302.0561333333333, 266.74986666666666, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0003333333333333334), (8, 0.07585, 0.04975555555555555), (3, 0.0, 0.0011166666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109666666666666), (16097, 51.82415, 6.140244444444444), (32209, 58.2, 11.638883333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
16,"[46.6120625465376, 46.61811898296717, 26.48501024144994, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[443.6949634928696, 1277.9500456799758, 3025.954217117808, 0, 0, 0]","[3585.3050365071304, 6824.049954320024, 13085.045782882193, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1878, 3777, 4267, 0, 0, 0]","[287.7445333333333, 4079.656266666667, 75.49680000000001, 0, 0, 0]","[0.009466666666666667, 1.4572, 0.009066666666666666, 0, 0, 0]","[0.0008, 2.4308, 0.00013333333333333337, 0, 0, 0]","[4007.2554666666665, 13100.343733333333, 34284.5032, 4295, 17180, 34360]","[371.99053333333336, 358.5428, 376.53093333333334, 372.0, 360.0, 376.54]","[199.9992, 302.5692, 266.74986666666666, 200.0, 305.0, 266.75]","[(8, 0.0, 0.0013388888888888888), (5, 0.0017166666666666665, 0.004283333333333333), (4, 0.0, 0.00145), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.108661111111111), (16100, 51.89828333333334, 6.185716666666666), (32208, 58.2, 11.638549999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
17,"[23.28121121866468, 52.80177733892866, 48.935509900068276, 0.0, 0.0, 0.0]","[2, 3, 4, 0, 0, 0]","[384.2661505437094, 1899.5238537309283, 4292.538838441203, 0, 0, 0]","[3644.7338494562905, 6202.476146269071, 11818.461161558796, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[938, 4278, 7884, 0, 0, 0]","[76.02053333333335, 3426.393866666667, 260.04586666666665, 0, 0, 0]","[8.267999999999999, 1.3910666666666665, 0.0184, 0, 0, 0]","[8.2832, 2.662666666666666, 0.00026666666666666673, 0, 0, 0]","[4218.979466666667, 13753.606133333333, 34099.95413333333, 4295, 17180, 34360]","[363.732, 358.6089333333333, 376.52160000000003, 372.0, 360.0, 376.54]","[191.7168, 302.33733333333333, 266.7497333333333, 200.0, 305.0, 266.75]","[(6, 0.0, 0.00105), (6, 0.0030166666666666666, 0.06623333333333334), (7, 0.0, 0.0022555555555555554), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.10895), (16099, 51.89698333333334, 6.123766666666667), (32205, 58.2, 11.637744444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
18,"[25.16753536857781, 51.666255245618366, 46.067903916578736, 0.0, 0.0, 0.0]","[2, 3, 4, 0, 0, 0]","[670.8469909886685, 2439.766355330271, 2855.5240117525623, 0, 0, 0]","[3358.1530090113315, 5662.233644669729, 13255.475988247437, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1014, 4186, 7422, 0, 0, 0]","[218.45173333333332, 3149.570533333333, 261.4432, 0, 0, 0]","[24.383600000000005, 1.5809333333333333, 0.018533333333333332, 0, 0, 0]","[24.287999999999997, 0.0412, 0.00013333333333333337, 0, 0, 0]","[4076.5482666666667, 14030.429466666666, 34098.5568, 4295, 17180, 34360]","[347.6164, 358.41906666666665, 376.5214666666667, 372.0, 360.0, 376.54]","[175.712, 304.9588, 266.74986666666666, 200.0, 305.0, 266.75]","[(5, 0.0, 0.08107222222222221), (8, 3.3333333333333335e-05, 0.00041666666666666664), (5, 0.0, 0.002222222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.028927777777778), (16097, 51.89996666666667, 6.189583333333333), (32207, 58.2, 11.637777777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
19,"[40.009928021841645, 32.201925450506046, 34.40506486251629, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[319.3147248848671, 544.0020058360076, 3266.9937303454726, 0, 0, 0]","[3709.6852751151328, 7557.997994163992, 12844.006269654528, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1612, 2609, 5543, 0, 0, 0]","[188.13, 165.14840000000004, 939.5232, 0, 0, 0]","[20.715466666666664, 0.0008, 0.5354666666666666, 0, 0, 0]","[20.616799999999998, 0.0061333333333333335, 0.019600000000000003, 0, 0, 0]","[4106.87, 17014.8516, 33420.4768, 4295, 17180, 34360]","[351.28453333333334, 359.9992, 376.00453333333337, 372.0, 360.0, 376.54]","[179.3832, 304.9938666666667, 266.7304, 200.0, 305.0, 266.75]","[(6, 0.0, 0.07541111111111111), (5, 0.06351666666666665, 0.014094444444444444), (5, 0.0, 0.010816666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.034588888888889), (16100, 51.83648333333334, 6.175905555555555), (32207, 58.2, 11.629183333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
20,"[26.358897989575574, 44.69266847691928, 34.4360995593073, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[840.31538702525, 2184.805807139466, 4802.4466032884275, 0, 0, 0]","[3188.68461297475, 5917.194192860534, 11308.553396711573, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1062, 3621, 5548, 0, 0, 0]","[9.783999999999999, 177.11893333333333, 3243.593866666667, 0, 0, 0]","[0.0002666666666666667, 0.15826666666666667, 0.0432, 0, 0, 0]","[0.0002666666666666667, 0.13533333333333333, 0.0038666666666666676, 0, 0, 0]","[4285.216, 17002.881066666665, 31116.406133333334, 4295, 17180, 34360]","[371.9997333333333, 359.8417333333333, 376.4968, 372.0, 360.0, 376.54]","[199.99973333333332, 304.86466666666666, 266.7461333333333, 200.0, 305.0, 266.75]","[(4, 0.0, 0.0), (9, 0.0018666666666666669, 0.0009388888888888888), (5, 0.0, 0.0014111111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.11), (16096, 51.89813333333334, 6.18906111111111), (32207, 58.2, 11.638588888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
21,"[45.346239761727475, 29.005183905208593, 46.21066352181739, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[932.6223351513818, 1623.96077626171, 5393.039161096275, 0, 0, 0]","[3096.377664848618, 6478.03922373829, 10717.960838903724, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1827, 2350, 7445, 0, 0, 0]","[43.68893333333334, 253.92759999999993, 3349.849466666667, 0, 0, 0]","[0.009466666666666667, 0.16973333333333332, 0.0532, 0, 0, 0]","[0.00013333333333333337, 0.14613333333333334, 0.004399999999999999, 0, 0, 0]","[4251.311066666667, 16926.0724, 31010.150533333333, 4295, 17180, 34360]","[371.99053333333336, 359.83026666666666, 376.4868, 372.0, 360.0, 376.54]","[199.99986666666666, 304.85386666666665, 266.7456, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0011166666666666666), (6, 0.0, 0.00016666666666666666), (7, 0.0, 0.0024444444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108883333333333), (16099, 51.900000000000006, 6.189833333333333), (32205, 58.2, 11.637555555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
