interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
11,"[45.19731943410276, 39.089113799061955, 34.90162001117249, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[1048.160636215419, 1347.7218779805685, 3219.4006240594017, 0, 0, 0]","[2980.839363784581, 6754.278122019432, 12891.599375940597, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1821, 3167, 5623, 0, 0, 0]","[177.55720000000002, 701.8446666666666, 2432.6952, 0, 0, 0]","[0.03013333333333333, 0.0092, 0.0196, 0, 0, 0]","[0.021466666666666665, 0.0008, 0.009866666666666666, 0, 0, 0]","[4117.4428, 16478.155333333332, 31927.304799999998, 4295, 17180, 34360]","[371.9698666666667, 359.9908, 376.5204, 372.0, 360.0, 376.54]","[199.97853333333333, 304.9992, 266.74013333333335, 200.0, 305.0, 266.75]","[(3, 1.666666666666667e-05, 0.00215), (9, 0.0, 0.006083333333333333), (6, 0.0, 0.003633333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.09998333333333, 10.10785), (16096, 51.900000000000006, 6.183916666666666), (32206, 58.2, 11.636366666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
12,"[50.384710846363866, 38.60775117254999, 34.82092979951586, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[1063.1607806633872, 1064.805751606491, 1664.9500654494054, 0, 0, 0]","[2965.8392193366126, 7037.194248393509, 14446.049934550594, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2030, 3128, 5610, 0, 0, 0]","[106.42866666666666, 1009.4266666666665, 2940.2056000000002, 0, 0, 0]","[0.011333333333333332, 0.15826666666666667, 0.7042666666666667, 0, 0, 0]","[0.002, 0.13546666666666668, 0.03693333333333334, 0, 0, 0]","[4188.571333333333, 16170.573333333334, 31419.7944, 4295, 17180, 34360]","[371.9886666666667, 359.8417333333333, 375.83573333333334, 372.0, 360.0, 376.54]","[199.998, 304.8645333333333, 266.7130666666667, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0016777777777777778), (9, 0.0018666666666666669, 0.006022222222222222), (5, 0.0007166666666666667, 0.0029999999999999996), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108322222222222), (16096, 51.89813333333334, 6.183977777777777), (32207, 58.199283333333334, 11.636999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
13,"[48.25018615040953, 24.808689212540113, 36.90646142387189, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[1331.31546075093, 1768.9675657911364, 2358.430080364661, 0, 0, 0]","[2697.68453924907, 6333.032434208863, 13752.569919635338, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1944, 2010, 5946, 0, 0, 0]","[154.31426666666667, 253.49066666666658, 132.8192, 0, 0, 0]","[0.020533333333333334, 0.1713333333333333, 0.009333333333333334, 0, 0, 0]","[0.0021333333333333334, 0.14773333333333333, 0.0021333333333333334, 0, 0, 0]","[4140.685733333334, 16926.509333333335, 34227.1808, 4295, 17180, 34360]","[371.97946666666667, 359.82866666666666, 376.53066666666666, 372.0, 360.0, 376.54]","[199.99786666666665, 304.85226666666665, 266.74786666666665, 200.0, 305.0, 266.75]","[(5, 0.0, 0.002261111111111111), (6, 0.0, 0.0002666666666666667), (6, 0.04615, 0.017494444444444448), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.107738888888889), (16099, 51.900000000000006, 6.189733333333333), (32206, 58.153850000000006, 11.622505555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
14,"[63.911640605609335, 24.808689212540113, 26.578114331822977, 0.0, 0.0, 0.0]","[4, 2, 2, 0, 0, 0]","[942.4988970470158, 0, 2471.961311837924, 0, 0, 0]","[3086.501102952984, 8102, 13639.038688162076, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2575, 2010, 4282, 0, 0, 0]","[260.9184, 143.0409333333333, 95.07079999999999, 0, 0, 0]","[0.020666666666666667, 0.17293333333333338, 0.008933333333333333, 0, 0, 0]","[0.0021333333333333334, 0.1488, 0.002, 0, 0, 0]","[4034.0816, 17036.959066666666, 34264.9292, 4295, 17180, 34360]","[371.97933333333333, 359.82706666666667, 376.5310666666667, 372.0, 360.0, 376.54]","[199.99786666666665, 304.8512, 266.748, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0023), (6, 0.0, 0.00022777777777777778), (4, 0.0, 0.00105), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.1077), (16099, 51.900000000000006, 6.189772222222222), (32208, 58.2, 11.63895), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
15,"[41.449491188880614, 23.47568501604542, 52.007944882378496, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[643.7495168324992, 1894.427998206127, 5763.584644396115, 0, 0, 0]","[3385.2504831675005, 6207.572001793873, 10347.415355603884, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1670, 1902, 8379, 0, 0, 0]","[102.14653333333334, 191.53813333333335, 455.7793333333333, 0, 0, 0]","[0.0092, 0.00013333333333333337, 0.010799999999999999, 0, 0, 0]","[0.00013333333333333337, 0.00013333333333333337, 0.0068, 0, 0, 0]","[4192.8534666666665, 16988.46186666667, 33904.22066666667, 4295, 17180, 34360]","[371.9908, 359.99986666666666, 376.5292, 372.0, 360.0, 376.54]","[199.99986666666666, 304.99986666666666, 266.7432, 200.0, 305.0, 266.75]","[(3, 0.0, 0.0012111111111111112), (6, 0.0, 0.0017666666666666666), (10, 0.4453, 0.005161111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.108788888888888), (16099, 51.900000000000006, 6.188233333333333), (32202, 57.7547, 11.634838888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
16,"[39.26532638371805, 35.05307331523081, 38.12302153807957, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[636.0346951217794, 1709.958964578796, 1366.149239274299, 0, 0, 0]","[3392.9653048782206, 6392.041035421204, 14744.850760725702, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1582, 2840, 6142, 0, 0, 0]","[93.40773333333334, 190.57599999999996, 482.34200000000004, 0, 0, 0]","[8.258799999999999, 0.0033333333333333335, 0.0016, 0, 0, 0]","[8.2832, 0.0033333333333333335, 0.006533333333333333, 0, 0, 0]","[4201.592266666667, 16989.424, 33877.658, 4295, 17180, 34360]","[363.7412, 359.99666666666667, 376.5384, 372.0, 360.0, 376.54]","[191.7168, 304.99666666666667, 266.7434666666667, 200.0, 305.0, 266.75]","[(5, 0.0, 0.00010555555555555557), (9, 0.0, 0.0012555555555555558), (7, 0.78925, 0.011483333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109894444444445), (16096, 51.900000000000006, 6.188744444444444), (32205, 57.41075, 11.628516666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
17,"[43.410275502606105, 36.50950382621575, 30.860902488982685, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1083.483561779648, 1589.4488915501943, 2476.9226646580196, 0, 0, 0]","[2945.516438220352, 6512.551108449806, 13634.07733534198, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1749, 2958, 4972, 0, 0, 0]","[91.74773333333334, 189.35359999999997, 536.87, 0, 0, 0]","[24.215466666666675, 0.012666666666666666, 0.011333333333333334, 0, 0, 0]","[24.279199999999996, 0.0037333333333333333, 0.0048, 0, 0, 0]","[4203.252266666666, 16990.6464, 33823.13, 4295, 17180, 34360]","[347.78453333333334, 359.9873333333333, 376.5286666666667, 372.0, 360.0, 376.54]","[175.7208, 304.99626666666666, 266.7452, 200.0, 305.0, 266.75]","[(7, 0.0, 0.0002111111111111111), (9, 0.0, 0.002438888888888889), (4, 0.7182166666666667, 0.012466666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109788888888888), (16096, 51.900000000000006, 6.18756111111111), (32208, 57.48178333333334, 11.627533333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
18,"[43.410275502606105, 34.695137003209084, 42.871330147104466, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[624.6332079276239, 1853.502560199271, 4412.070977186953, 0, 0, 0]","[3404.366792072376, 6248.497439800729, 11698.929022813047, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1749, 2811, 6907, 0, 0, 0]","[83.79599999999999, 231.90733333333333, 820.6836000000001, 0, 0, 0]","[20.60213333333333, 0.014266666666666667, 0.04786666666666666, 0, 0, 0]","[20.657466666666664, 0.0048000000000000004, 0.016533333333333334, 0, 0, 0]","[4211.204, 16948.092666666667, 33539.3164, 4295, 17180, 34360]","[351.3978666666667, 359.9857333333333, 376.49213333333336, 372.0, 360.0, 376.54]","[179.34253333333334, 304.9952, 266.7334666666667, 200.0, 305.0, 266.75]","[(7, 0.0, 0.00022777777777777778), (7, 0.0, 0.0013722222222222222), (5, 0.8772166666666665, 0.06446666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109772222222222), (16098, 51.900000000000006, 6.188627777777778), (32207, 57.322783333333334, 11.575533333333333), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
19,"[35.54231819310002, 42.569735867686994, 43.06995220656694, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[384.2661505437094, 1521.1162435178685, 3780.1754805192313, 0, 0, 0]","[3644.7338494562905, 6580.8837564821315, 12330.824519480768, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1432, 3449, 6939, 0, 0, 0]","[129.32146666666668, 2324.6908, 911.5608, 0, 0, 0]","[30.175466666666665, 0.01, 0.05546666666666668, 0, 0, 0]","[30.255733333333335, 0.0024, 0.018133333333333335, 0, 0, 0]","[4165.678533333334, 14855.3092, 33448.4392, 4295, 17180, 34360]","[341.8245333333333, 359.99, 376.48453333333333, 372.0, 360.0, 376.54]","[169.74426666666668, 304.9976, 266.7318666666667, 200.0, 305.0, 266.75]","[(7, 0.0, 0.0001277777777777778), (7, 0.0, 0.0019833333333333335), (3, 0.00315, 0.004433333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109872222222222), (16098, 51.900000000000006, 6.188016666666666), (32209, 58.196850000000005, 11.635566666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
20,"[22.040208488458674, 56.68970624537152, 40.06579355719694, 0.0, 0.0, 0.0]","[2, 4, 3, 0, 0, 0]","[626.9063734952105, 1256.4694544762033, 4207.694455028576, 0, 0, 0]","[3402.0936265047894, 6845.530545523797, 11903.305544971423, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[888, 4593, 6455, 0, 0, 0]","[148.54733333333334, 6309.629600000001, 941.9677333333334, 0, 0, 0]","[24.224000000000007, 1.5901333333333334, 0.06666666666666667, 0, 0, 0]","[24.278666666666663, 0.03746666666666667, 0.026266666666666667, 0, 0, 0]","[4146.452666666667, 10870.3704, 33418.03226666667, 4295, 17180, 34360]","[347.776, 358.4098666666667, 376.47333333333336, 372.0, 360.0, 376.54]","[175.72133333333335, 304.96253333333334, 266.7237333333333, 200.0, 305.0, 266.75]","[(6, 0.0, 0.001111111111111111), (10, 0.0, 0.0014833333333333335), (5, 0.0056500000000000005, 0.026250000000000002), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108888888888888), (16095, 51.900000000000006, 6.188516666666666), (32207, 58.19435, 11.61375), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
21,"[39.31496649292628, 24.759318686744013, 51.765874247408604, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[1233.079368187688, 804.078297530017, 5320.5929068193855, 0, 0, 0]","[2795.920631812312, 7297.921702469983, 10790.407093180615, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1584, 2006, 8340, 0, 0, 0]","[577.1524, 2428.5001333333335, 1125.9937333333332, 0, 0, 0]","[20.554666666666666, 0.0002666666666666667, 0.011600000000000001, 0, 0, 0]","[20.60493333333333, 0.0013333333333333333, 0.009466666666666667, 0, 0, 0]","[3717.8476, 14751.499866666667, 33234.00626666666, 4295, 17180, 34360]","[351.44533333333334, 359.9997333333333, 376.52840000000003, 372.0, 360.0, 376.54]","[179.39506666666668, 304.9986666666667, 266.74053333333336, 200.0, 305.0, 266.75]","[(8, 0.0, 0.0023), (4, 0.0, 0.0002333333333333333), (6, 0.04615, 0.018527777777777782), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.1077), (16101, 51.900000000000006, 6.189766666666666), (32206, 58.153850000000006, 11.621472222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
