interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
11,"[44.452717795979154, 37.459886447790666, 34.97610328347092, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[251.15514745673997, 1737.5413999694688, 2086.9171845041096, 0, 0, 0]","[3777.84485254326, 6364.458600030532, 14024.08281549589, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1791, 3035, 5635, 0, 0, 0]","[132.3816, 648.7162666666667, 933.9308, 0, 0, 0]","[0.011600000000000001, 0.004, 0.035866666666666665, 0, 0, 0]","[0.0022666666666666673, 0.009333333333333334, 0.010133333333333334, 0, 0, 0]","[4162.6184, 16531.283733333334, 33426.0692, 4295, 17180, 34360]","[371.9884, 359.996, 376.50413333333336, 372.0, 360.0, 376.54]","[199.99773333333334, 304.99066666666664, 266.73986666666667, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0011777777777777778), (9, 0.0, 0.0018722222222222217), (9, 0.0, 0.024194444444444442), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108822222222221), (16096, 51.900000000000006, 6.188127777777777), (32203, 58.2, 11.615805555555553), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
12,"[32.266070985356166, 47.85238212786966, 27.800881385388866, 0.0, 0.0, 0.0]","[2, 4, 2, 0, 0, 0]","[166.15920635027632, 1520.5908496665074, 4145.238574688477, 0, 0, 0]","[3862.8407936497238, 6581.409150333493, 11965.761425311524, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1300, 3877, 4479, 0, 0, 0]","[73.57386666666666, 3344.2552, 2.4453333333333336, 0, 0, 0]","[0.009333333333333334, 0.010533333333333334, 0.014266666666666667, 0, 0, 0]","[0.00013333333333333337, 0.0021333333333333334, 0.005066666666666667, 0, 0, 0]","[4221.426133333333, 13835.7448, 34357.55466666666, 4295, 17180, 34360]","[371.99066666666664, 359.98946666666666, 376.52573333333333, 372.0, 360.0, 376.54]","[199.99986666666666, 304.99786666666665, 266.74493333333334, 200.0, 305.0, 266.75]","[(4, 0.0, 0.00105), (8, 0.0, 0.002833333333333333), (6, 0.0, 0.001661111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.10895), (16097, 51.900000000000006, 6.187166666666666), (32206, 58.2, 11.638338888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
13,"[29.709605361131796, 38.15107380893606, 56.89901309664205, 0.0, 0.0, 0.0]","[2, 3, 4, 0, 0, 0]","[421.4356608994527, 1739.4464187866365, 7763.562378673778, 0, 0, 0]","[3607.5643391005474, 6362.553581213364, 8347.437621326222, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1197, 3091, 9167, 0, 0, 0]","[54.699466666666666, 2882.883333333333, 122.1576, 0, 0, 0]","[0.0, 2.0052, 0.10200000000000001, 0, 0, 0]","[0.0, 0.016, 0.004533333333333334, 0, 0, 0]","[4240.300533333333, 14297.116666666667, 34237.8424, 4295, 17180, 34360]","[372.0, 357.9948, 376.43800000000005, 372.0, 360.0, 376.54]","[200.0, 304.984, 266.7454666666667, 200.0, 305.0, 266.75]","[(6, 0.0, 0.00010555555555555555), (5, 0.0, 0.0016555555555555555), (9, 0.0, 0.0025444444444444447), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109894444444445), (16100, 51.900000000000006, 6.188344444444444), (32203, 58.2, 11.637455555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
14,"[27.277240009928022, 35.28758331276228, 66.3149401030352, 0.0, 0.0, 0.0]","[2, 3, 5, 0, 0, 0]","[1073.2105923952313, 1392.7875862372186, 5943.668809551731, 0, 0, 0]","[2955.7894076047687, 6709.212413762782, 10167.331190448269, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1099, 2859, 10684, 0, 0, 0]","[15.026799999999998, 578.8122666666666, 237.15173333333337, 0, 0, 0]","[0.0002666666666666667, 1.5554666666666668, 0.11133333333333333, 0, 0, 0]","[0.0002666666666666667, 0.018533333333333332, 0.004533333333333334, 0, 0, 0]","[4279.9732, 16601.187733333332, 34122.84826666667, 4295, 17180, 34360]","[371.9997333333333, 358.4445333333333, 376.4286666666667, 372.0, 360.0, 376.54]","[199.99973333333332, 304.9814666666667, 266.7454666666667, 200.0, 305.0, 266.75]","[(6, 0.0, 8.88888888888889e-05), (7, 0.0, 0.001811111111111111), (11, 0.0, 0.003494444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.10991111111111), (16098, 51.900000000000006, 6.188188888888888), (32201, 58.2, 11.636505555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
15,"[43.88185654008439, 24.87040236978524, 51.623114642169945, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[1057.7594337596306, 782.6690916395479, 6004.903825915029, 0, 0, 0]","[2971.2405662403694, 7319.330908360452, 10106.09617408497, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1768, 2015, 8317, 0, 0, 0]","[50.4156, 533.7230666666668, 253.05559999999997, 0, 0, 0]","[0.008400000000000001, 1.3372, 0.10053333333333334, 0, 0, 0]","[0.008533333333333334, 0.009733333333333332, 0.0032, 0, 0, 0]","[4244.5844, 16646.276933333334, 34106.9444, 4295, 17180, 34360]","[371.9916, 358.6628, 376.4394666666667, 372.0, 360.0, 376.54]","[199.99146666666667, 304.9902666666667, 266.7468, 200.0, 305.0, 266.75]","[(8, 0.0, 0.00017222222222222224), (6, 0.0, 0.00044444444444444447), (7, 0.0, 0.0022444444444444447), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.109827777777777), (16099, 51.900000000000006, 6.189555555555555), (32205, 58.2, 11.637755555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
16,"[40.45668900471581, 25.03085657862256, 50.09620756005214, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[398.9829821031236, 1001.7714058927403, 2990.818245585945, 0, 0, 0]","[3630.0170178968765, 7100.22859410726, 13120.181754414054, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1630, 2028, 8071, 0, 0, 0]","[26.036, 204.8204, 2427.1027999999997, 0, 0, 0]","[0.058133333333333335, 0.00013333333333333337, 0.018533333333333332, 0, 0, 0]","[0.057733333333333345, 0.00013333333333333337, 0.0013333333333333333, 0, 0, 0]","[4268.964, 16975.1796, 31932.8972, 4295, 17180, 34360]","[371.94186666666667, 359.99986666666666, 376.5214666666667, 372.0, 360.0, 376.54]","[199.94226666666665, 304.99986666666666, 266.7486666666667, 200.0, 305.0, 266.75]","[(9, 0.0, 0.00010555555555555555), (6, 0.0, 0.0017833333333333332), (6, 0.0, 0.0022222222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.109894444444445), (16099, 51.900000000000006, 6.1882166666666665), (32206, 58.2, 11.637777777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
17,"[26.334077934971457, 43.841026906936555, 34.19402892433741, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[656.7837911485781, 3359.6036088146266, 1283.1686751166799, 0, 0, 0]","[3372.216208851422, 4742.396391185373, 14827.83132488332, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1061, 3552, 5509, 0, 0, 0]","[41.41706666666666, 2759.8508, 2232.765733333333, 0, 0, 0]","[0.04760000000000001, 0.010933333333333333, 0.0, 0, 0, 0]","[0.04706666666666666, 0.0028, 0.0038666666666666667, 0, 0, 0]","[4253.582933333333, 14420.1492, 32127.234266666666, 4295, 17180, 34360]","[371.9524, 359.98906666666664, 376.54, 372.0, 360.0, 376.54]","[199.95293333333333, 304.9972, 266.7461333333333, 200.0, 305.0, 266.75]","[(6, 0.0, 6.666666666666667e-05), (7, 0.0, 0.002955555555555556), (4, 0.04615, 0.016311111111111113), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109933333333332), (16098, 51.900000000000006, 6.187044444444444), (32208, 58.153850000000006, 11.623688888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
18,"[41.896252171754774, 43.841026906936555, 12.693190987524053, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[846.0544137936903, 2272.783793362464, 1196.6813573689292, 0, 0, 0]","[3182.9455862063096, 5829.216206637536, 14914.318642631071, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1688, 3552, 2045, 0, 0, 0]","[761.1765333333335, 3067.4322666666662, 44.7392, 0, 0, 0]","[0.05360000000000001, 0.009333333333333334, 0.0, 0, 0, 0]","[0.0532, 0.0018666666666666669, 0.002, 0, 0, 0]","[3533.8234666666667, 14112.567733333333, 34315.2608, 4295, 17180, 34360]","[371.9464, 359.99066666666664, 376.54, 372.0, 360.0, 376.54]","[199.9468, 304.9981333333333, 266.748, 200.0, 305.0, 266.75]","[(9, 0.12083333333333332, 0.0016833333333333333), (7, 0.0, 0.0023), (1, 0.0, 1.1111111111111112e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 66.97916666666666, 10.108316666666665), (16098, 51.900000000000006, 6.1876999999999995), (32211, 58.2, 11.639988888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
19,"[40.08438818565401, 43.841026906936555, 23.251194835826457, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[279.90489652563247, 1001.7714058927403, 1397.7390594094966, 0, 0, 0]","[3749.0951034743675, 7100.22859410726, 14713.260940590504, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1615, 3552, 3746, 0, 0, 0]","[782.4982666666664, 2765.443333333333, 0.0, 0, 0, 0]","[0.01, 0.009466666666666667, 0.0, 0, 0, 0]","[0.0005333333333333335, 0.0021333333333333334, 0.002, 0, 0, 0]","[3512.5017333333335, 14414.556666666667, 34360.0, 4295, 17180, 34360]","[371.99, 359.99053333333336, 376.54, 372.0, 360.0, 376.54]","[199.99946666666668, 304.99786666666665, 266.748, 200.0, 305.0, 266.75]","[(8, 0.03961666666666667, 0.0024055555555555553), (7, 0.0, 0.0034666666666666665), (3, 0.0, 1.1111111111111112e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.06038333333333, 10.107594444444445), (16098, 51.900000000000006, 6.186533333333333), (32209, 58.2, 11.639988888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
20,"[23.926532638371807, 38.13873117748704, 37.09266960461796, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[590.8947982701809, 1569.3574343872842, 5556.439576648536, 0, 0, 0]","[3438.105201729819, 6532.642565612716, 10554.560423351464, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[964, 3090, 5976, 0, 0, 0]","[108.26480000000001, 406.846, 2003.4768000000001, 0, 0, 0]","[0.014, 0.018666666666666665, 0.0006666666666666666, 0, 0, 0]","[0.004533333333333334, 0.023066666666666666, 0.0016, 0, 0, 0]","[4186.7352, 16773.154, 32356.5232, 4295, 17180, 34360]","[371.986, 359.98133333333334, 376.53933333333333, 372.0, 360.0, 376.54]","[199.99546666666666, 304.9769333333333, 266.7484, 200.0, 305.0, 266.75]","[(3, 0.0, 0.0010555555555555557), (7, 0.0038500000000000006, 0.00461111111111111), (5, 0.0, 0.00039444444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.108944444444443), (16098, 51.896150000000006, 6.185388888888888), (32207, 58.2, 11.639605555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
21,"[23.926532638371807, 24.611207109355714, 53.5286450251381, 0.0, 0.0, 0.0]","[2, 2, 4, 0, 0, 0]","[0, 983.9700804154276, 5259.244320987739, 0, 0, 0]","[4029, 7118.029919584573, 10851.755679012262, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[964, 1994, 8624, 0, 0, 0]","[104.50693333333334, 301.98879999999997, 2230.3177333333333, 0, 0, 0]","[0.014933333333333331, 0.017733333333333334, 0.1028, 0, 0, 0]","[0.005733333333333333, 0.022133333333333328, 0.11106666666666665, 0, 0, 0]","[4190.493066666667, 16878.0112, 32129.682266666667, 4295, 17180, 34360]","[371.9850666666667, 359.98226666666665, 376.4372, 372.0, 360.0, 376.54]","[199.99426666666668, 304.97786666666667, 266.63893333333334, 200.0, 305.0, 266.75]","[(3, 0.0, 0.0011222222222222222), (6, 1.666666666666667e-05, 0.0015555555555555555), (7, 0.04608333333333333, 0.016883333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.108877777777778), (16099, 51.89998333333334, 6.1884444444444435), (32205, 58.15391666666667, 11.623116666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
