interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
11,"[46.66170265574584, 38.484324858059736, 14.021476010179382, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[1121.9708816736036, 1378.346893617523, 1096.2276735558148, 0, 0, 0]","[2907.029118326396, 6723.653106382477, 15014.772326444185, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1880, 3118, 2259, 0, 0, 0]","[544.5590666666667, 2518.414533333333, 296.3972, 0, 0, 0]","[0.015333333333333332, 0.0012, 0.0002666666666666667, 0, 0, 0]","[0.013066666666666666, 0.0026666666666666666, 0.0013333333333333333, 0, 0, 0]","[3750.4409333333333, 14661.585466666667, 34063.6028, 4295, 17180, 34360]","[371.98466666666667, 359.9988, 376.53973333333334, 372.0, 360.0, 376.54]","[199.98693333333333, 304.99733333333336, 266.7486666666667, 200.0, 305.0, 266.75]","[(5, 3.333333333333334e-05, 0.0014222222222222223), (8, 0.0, 0.00030000000000000003), (1, 1.666666666666667e-05, 0.0024555555555555554), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09996666666666, 10.108577777777777), (16097, 51.900000000000006, 6.189699999999999), (32211, 58.199983333333336, 11.637544444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
12,"[44.899478778853315, 36.8304122438904, 26.72708087641984, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1625.0848231962389, 579.1568428921917, 2046.8749041745743, 0, 0, 0]","[2403.915176803761, 7522.843157107808, 14064.125095825426, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1809, 2984, 4306, 0, 0, 0]","[230.77106666666668, 5669.560133333333, 483.74226666666664, 0, 0, 0]","[0.002133333333333334, 1.5712000000000002, 0.00026666666666666673, 0, 0, 0]","[0.0, 0.020533333333333334, 0.0005333333333333334, 0, 0, 0]","[4064.2289333333333, 11510.439866666668, 33876.25773333333, 4295, 17180, 34360]","[371.99786666666665, 358.4288, 376.53973333333334, 372.0, 360.0, 376.54]","[200.0, 304.97946666666667, 266.74946666666665, 200.0, 305.0, 266.75]","[(7, 0.0, 0.0008166666666666666), (8, 0.0, 0.0002777777777777778), (2, 0.0, 0.007549999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109183333333332), (16097, 51.900000000000006, 6.189722222222222), (32210, 58.2, 11.632449999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
13,"[58.873169520972944, 10.676376203406566, 36.4347340326485, 0.0, 0.0, 0.0]","[4, 1, 3, 0, 0, 0]","[676.3304224754777, 593.6732021674471, 5613.452287309671, 0, 0, 0]","[3352.6695775245225, 7508.326797832553, 10497.547712690328, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2372, 865, 5870, 0, 0, 0]","[289.40319999999997, 2984.945466666667, 360.70893333333333, 0, 0, 0]","[0.0018666666666666664, 0.18346666666666664, 0.009733333333333333, 0, 0, 0]","[0.0006666666666666668, 0.0036, 0.0004000000000000001, 0, 0, 0]","[4005.5968000000003, 14195.054533333332, 33999.291066666665, 4295, 17180, 34360]","[371.9981333333333, 359.8165333333333, 376.5302666666667, 372.0, 360.0, 376.54]","[199.99933333333334, 304.9964, 266.7496, 200.0, 305.0, 266.75]","[(10, 0.05158333333333333, 0.01903888888888889), (3, 0.0, 5.555555555555555e-05), (5, 0.0, 0.003966666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4016, 67.04841666666665, 10.09096111111111), (16102, 51.900000000000006, 6.189944444444444), (32207, 58.2, 11.636033333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
14,"[46.26458178207992, 35.164156998272034, 36.4347340326485, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[424.2092031852845, 1864.367057001925, 1058.2030617319265, 0, 0, 0]","[3604.7907968147156, 6237.632942998075, 15052.796938268073, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1864, 2849, 5870, 0, 0, 0]","[553.2962666666667, 2962.5744000000004, 276.82306666666665, 0, 0, 0]","[0.0, 0.0002666666666666667, 0.009466666666666667, 0, 0, 0]","[0.0, 0.0038666666666666667, 0.00013333333333333337, 0, 0, 0]","[3741.7037333333333, 14217.425599999999, 34083.176933333336, 4295, 17180, 34360]","[372.0, 359.9997333333333, 376.5305333333334, 372.0, 360.0, 376.54]","[200.0, 304.9961333333333, 266.74986666666666, 200.0, 305.0, 266.75]","[(7, 0.0, 0.0004), (8, 0.04601666666666666, 0.01628888888888889), (5, 0.0, 0.003344444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109599999999999), (16097, 51.85398333333334, 6.1737111111111105), (32207, 58.2, 11.636655555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
15,"[30.230826507818314, 48.93853369538385, 22.040841660976973, 0.0, 0.0, 0.0]","[2, 4, 2, 0, 0, 0]","[1153.5488013564711, 2571.5590555566037, 1645.2825219566423, 0, 0, 0]","[2875.451198643529, 5530.440944443397, 14465.717478043358, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1218, 3965, 3551, 0, 0, 0]","[450.1876, 768.9534666666668, 167.772, 0, 0, 0]","[0.0, 2.0136000000000003, 0.018266666666666667, 0, 0, 0]","[0.0, 0.0388, 0.00013333333333333337, 0, 0, 0]","[3844.8124, 16411.046533333334, 34192.228, 4295, 17180, 34360]","[372.0, 357.9864, 376.5217333333334, 372.0, 360.0, 376.54]","[200.0, 304.9612, 266.74986666666666, 200.0, 305.0, 266.75]","[(4, 0.0, 0.0003), (11, 1.666666666666667e-05, 0.001), (4, 0.0, 0.0021444444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.1097), (16094, 51.89998333333334, 6.188999999999999), (32208, 58.2, 11.637855555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
16,"[40.977910151402334, 37.706739076771164, 21.96015144932034, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[854.2835335595483, 1953.9852211397142, 3046.68203397708, 0, 0, 0]","[3174.7164664404518, 6148.014778860286, 13064.31796602292, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1651, 3055, 3538, 0, 0, 0]","[406.6705333333333, 746.5853333333333, 2757.0552000000002, 0, 0, 0]","[0.0033333333333333335, 1.564, 0.0092, 0, 0, 0]","[0.0032, 0.03533333333333333, 0.0017333333333333335, 0, 0, 0]","[3888.3294666666666, 16433.414666666667, 31602.9448, 4295, 17180, 34360]","[371.99666666666667, 358.436, 376.5308, 372.0, 360.0, 376.54]","[199.9968, 304.9646666666667, 266.74826666666667, 200.0, 305.0, 266.75]","[(5, 1.666666666666667e-05, 0.0002722222222222222), (9, 1.666666666666667e-05, 0.0009555555555555554), (2, 0.0, 0.0010833333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09998333333333, 10.109727777777778), (16096, 51.89998333333334, 6.189044444444444), (32210, 58.2, 11.638916666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
17,"[40.977910151402334, 36.36139224882745, 37.6885357830054, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[840.4816729961278, 815.3310623623827, 2374.9912552412834, 0, 0, 0]","[3188.5183270038724, 7286.668937637617, 13736.008744758718, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1651, 2946, 6072, 0, 0, 0]","[737.6710666666669, 233.39426666666665, 2411.7236, 0, 0, 0]","[0.003999999999999999, 0.019333333333333334, 0.008933333333333333, 0, 0, 0]","[0.003999999999999999, 0.0252, 0.0021333333333333334, 0, 0, 0]","[3557.328933333333, 16946.605733333334, 31948.2764, 4295, 17180, 34360]","[371.996, 359.98066666666665, 376.5310666666667, 372.0, 360.0, 376.54]","[199.996, 304.9748, 266.74786666666665, 200.0, 305.0, 266.75]","[(7, 0.12083333333333332, 0.001611111111111111), (7, 0.0, 0.00024444444444444443), (5, 0.04548333333333333, 0.01749444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 66.97916666666666, 10.108388888888888), (16098, 51.900000000000006, 6.189755555555555), (32207, 58.154516666666666, 11.622505555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
18,"[42.0451724993795, 23.52505554184152, 54.89417168394265, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[672.7014955377397, 1006.9845423014142, 4248.375071038429, 0, 0, 0]","[3356.29850446226, 7095.015457698586, 11862.62492896157, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1694, 1906, 8844, 0, 0, 0]","[722.8151999999998, 29.61986666666666, 3218.4264, 0, 0, 0]","[0.018533333333333332, 0.0018666666666666666, 0.009866666666666668, 0, 0, 0]","[0.0132, 0.009066666666666667, 0.0021333333333333334, 0, 0, 0]","[3572.1848, 17150.380133333332, 31141.5736, 4295, 17180, 34360]","[371.9814666666667, 359.9981333333333, 376.53013333333337, 372.0, 360.0, 376.54]","[199.9868, 304.9909333333333, 266.74786666666665, 200.0, 305.0, 266.75]","[(5, 0.04053333333333334, 0.006055555555555555), (4, 0.0, 0.00018888888888888888), (7, 0.08385, 0.028194444444444442), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.05946666666667, 10.103944444444444), (16101, 51.900000000000006, 6.18981111111111), (32205, 58.116150000000005, 11.611805555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
19,"[42.86423430131546, 23.191804492717846, 39.16578735025759, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[245.54319931548474, 1643.4766313463704, 3308.394891816202, 0, 0, 0]","[3783.456800684515, 6458.523368653629, 12802.605108183798, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1727, 1879, 6310, 0, 0, 0]","[799.7118666666668, 20.4456, 2866.106133333333, 0, 0, 0]","[0.015199999999999998, 0.041466666666666666, 0.3921333333333334, 0, 0, 0]","[0.010933333333333333, 0.040799999999999996, 0.0264, 0, 0, 0]","[3495.2881333333335, 17159.5544, 31493.893866666665, 4295, 17180, 34360]","[371.9848, 359.9585333333333, 376.1478666666667, 372.0, 360.0, 376.54]","[199.98906666666667, 304.9592, 266.7236, 200.0, 305.0, 266.75]","[(7, 9.820516666666666, 0.05256111111111111), (6, 0.0, 1.6666666666666667e-05), (4, 0.07118333333333333, 0.025455555555555558), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 57.27948333333333, 10.057438888888889), (16099, 51.900000000000006, 6.189983333333333), (32208, 58.12881666666667, 11.614544444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
20,"[26.28443782576322, 51.962478400394964, 23.468437713363542, 0.0, 0.0, 0.0]","[2, 4, 2, 0, 0, 0]","[594.1340891818422, 2216.8709511250627, 2865.196562491372, 0, 0, 0]","[3434.8659108181578, 5885.129048874937, 13245.803437508628, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1059, 4210, 3781, 0, 0, 0]","[117.4384, 417.8542666666667, 2635.419066666667, 0, 0, 0]","[0.0004, 16.5932, 0.38253333333333334, 0, 0, 0]","[0.0002666666666666667, 0.3332, 0.026666666666666665, 0, 0, 0]","[4177.5616, 16762.145733333335, 31724.580933333335, 4295, 17180, 34360]","[371.9996, 343.4068, 376.15746666666666, 372.0, 360.0, 376.54]","[199.99973333333332, 304.6668, 266.72333333333336, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0007944444444444444), (8, 8.906633333333335, 3.687961111111111), (2, 0.32739999999999997, 0.10258333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109205555555555), (16097, 42.993366666666674, 2.5020388888888885), (32210, 57.872600000000006, 11.537416666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
21,"[28.940183668404067, 53.1720562823994, 33.52988641300975, 0.0, 0.0, 0.0]","[2, 4, 3, 0, 0, 0]","[541.3552859267407, 3231.685079308505, 3019.187898295293, 0, 0, 0]","[3487.6447140732594, 4870.314920691495, 13091.812101704707, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1166, 4308, 5402, 0, 0, 0]","[232.0836, 487.4108, 3190.4645333333337, 0, 0, 0]","[0.0092, 0.21359999999999998, 0.3864, 0, 0, 0]","[0.00013333333333333337, 1.2618666666666665, 0.04306666666666667, 0, 0, 0]","[4062.9164, 16692.5892, 31169.535466666668, 4295, 17180, 34360]","[371.9908, 359.7864, 376.15360000000004, 372.0, 360.0, 376.54]","[199.99986666666666, 303.73813333333334, 266.7069333333333, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0015166666666666666), (8, 0.0, 0.00021111111111111113), (5, 0.3679500000000001, 0.11474444444444448), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108483333333332), (16097, 51.900000000000006, 6.189788888888889), (32207, 57.83205, 11.525255555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
