interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
11,"[37.00670141474311, 50.938039990125894, 58.45695487555087, 0.0, 0.0, 0.0]","[3, 3, 4, 0, 0, 0]","[865.3012973401555, 1521.9636309878945, 8956.4214226112, 0, 0, 0]","[3163.6987026598445, 6580.036369012106, 7154.5785773888, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1491, 4127, 9418, 0, 0, 0]","[62.300533333333334, 982.8629333333333, 2648.0025333333333, 0, 0, 0]","[0.0012, 0.004666666666666666, 0.022399999999999996, 0, 0, 0]","[0.0010666666666666667, 0.008266666666666665, 0.01813333333333333, 0, 0, 0]","[4232.699466666667, 16197.137066666666, 31711.997466666668, 4295, 17180, 34360]","[371.9988, 359.99533333333335, 376.5176, 372.0, 360.0, 376.54]","[199.99893333333333, 304.99173333333334, 266.7318666666667, 200.0, 305.0, 266.75]","[(3, 0.0, 0.0007555555555555554), (3, 0.015200000000000002, 0.0037388888888888893), (7, 0.0, 0.0032500000000000003), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109244444444444), (16102, 51.884800000000006, 6.1862611111111105), (32205, 58.2, 11.63675), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
12,"[38.7192851824274, 33.21402122932609, 74.30327105704177, 0.0, 0.0, 0.0]","[3, 2, 6, 0, 0, 0]","[1559.3884227171138, 2691.5993038309434, 4244.832546664793, 0, 0, 0]","[2469.611577282886, 5410.400696169057, 11866.167453335207, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1560, 2691, 11971, 0, 0, 0]","[52.77506666666666, 836.0636000000001, 4394.2304, 0, 0, 0]","[0.0018666666666666664, 0.012533333333333334, 3.1914666666666656, 0, 0, 0]","[0.002, 0.0009333333333333333, 0.05253333333333333, 0, 0, 0]","[4242.224933333333, 16343.9364, 29965.7696, 4295, 17180, 34360]","[371.9981333333333, 359.98746666666665, 373.34853333333336, 372.0, 360.0, 376.54]","[199.998, 304.9990666666667, 266.6974666666667, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0009611111111111112), (2, 0.015133333333333334, 0.002116666666666667), (11, 3.3333333333333335e-05, 0.005833333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109038888888888), (16103, 51.884866666666674, 6.187883333333333), (32201, 58.19996666666667, 11.634166666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
13,"[50.210970464135016, 33.21402122932609, 41.02166221836013, 0.0, 0.0, 0.0]","[4, 2, 3, 0, 0, 0]","[764.2114800090698, 740.2994142318395, 3435.7779372532377, 0, 0, 0]","[3264.78851999093, 7361.700585768161, 12675.222062746761, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2023, 2691, 6609, 0, 0, 0]","[245.9744, 715.8266666666666, 139.81, 0, 0, 0]","[0.0026666666666666666, 0.014, 0.027466666666666667, 0, 0, 0]","[0.007466666666666667, 0.0061333333333333335, 0.0004, 0, 0, 0]","[4049.0256, 16464.173333333332, 34220.19, 4295, 17180, 34360]","[371.99733333333336, 359.986, 376.51253333333335, 372.0, 360.0, 376.54]","[199.99253333333334, 304.9938666666667, 266.7496, 200.0, 305.0, 266.75]","[(6, 0.0004166666666666667, 0.0015722222222222223), (2, 0.01145, 0.002011111111111111), (6, 0.0, 0.0036277777777777775), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09958333333333, 10.108427777777777), (16103, 51.88855, 6.1879888888888885), (32206, 58.2, 11.63637222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
14,"[43.2861752295855, 41.69340903480622, 41.55545900316554, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[0, 1919.0013108815442, 2932.2101318092177, 0, 0, 0]","[4029, 6182.998689118456, 13178.789868190783, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1744, 3378, 6695, 0, 0, 0]","[274.54879999999997, 25.1652, 2413.122, 0, 0, 0]","[0.010400000000000001, 0.0092, 0.018266666666666667, 0, 0, 0]","[0.010533333333333334, 0.0021333333333333334, 0.0014666666666666667, 0, 0, 0]","[4020.4512, 17154.8348, 31946.878, 4295, 17180, 34360]","[371.9896, 359.9908, 376.5217333333334, 372.0, 360.0, 376.54]","[199.98946666666666, 304.99786666666665, 266.74853333333334, 200.0, 305.0, 266.75]","[(6, 0.0, 0.000988888888888889), (5, 0.0, 0.001061111111111111), (4, 0.0, 0.0022166666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.10901111111111), (16100, 51.900000000000006, 6.188938888888888), (32208, 58.2, 11.637783333333331), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
15,"[10.945644080416978, 70.80967662305603, 38.77475017069083, 0.0, 0.0, 0.0]","[1, 5, 3, 0, 0, 0]","[354.7662454720879, 3855.5580168890724, 2708.859478712651, 0, 0, 0]","[3674.233754527912, 4246.441983110928, 13402.140521287349, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[441, 5737, 6247, 0, 0, 0]","[612.3673333333335, 4774.514533333333, 2487.2210666666665, 0, 0, 0]","[1.1884000000000001, 0.010933333333333333, 0.015733333333333332, 0, 0, 0]","[0.38386666666666663, 0.005733333333333333, 0.004399999999999999, 0, 0, 0]","[3682.6326666666664, 12405.485466666667, 31872.778933333335, 4295, 17180, 34360]","[370.8116, 359.98906666666664, 376.5242666666667, 372.0, 360.0, 376.54]","[199.61613333333332, 304.99426666666665, 266.7456, 200.0, 305.0, 266.75]","[(3, 0.011550000000000001, 0.43049444444444446), (7, 0.0, 0.0013111111111111114), (5, 0.0, 0.0017388888888888888), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.08845, 9.679505555555554), (16098, 51.900000000000006, 6.188688888888889), (32207, 58.2, 11.63826111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
16,"[24.820054604120127, 60.33078252283387, 26.76432251256905, 0.0, 0.0, 0.0]","[2, 4, 2, 0, 0, 0]","[695.2489570976628, 2133.7874509072003, 2532.523490321636, 0, 0, 0]","[3333.7510429023373, 5968.212549092799, 13578.476509678363, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1000, 4888, 4312, 0, 0, 0]","[568.6764, 5080.699066666666, 2622.8376, 0, 0, 0]","[0.8434666666666667, 0.011066666666666667, 0.007866666666666666, 0, 0, 0]","[0.27066666666666667, 0.0037333333333333333, 0.005066666666666667, 0, 0, 0]","[3726.3236, 12099.300933333334, 31737.1624, 4295, 17180, 34360]","[371.15653333333336, 359.9889333333333, 376.5321333333334, 372.0, 360.0, 376.54]","[199.72933333333333, 304.99626666666666, 266.74493333333334, 200.0, 305.0, 266.75]","[(6, 1.666666666666667e-05, 0.2272388888888889), (4, 0.037733333333333334, 0.01586111111111111), (6, 0.0032, 0.0018444444444444446), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09998333333333, 9.88276111111111), (16101, 51.86226666666667, 6.174138888888888), (32206, 58.1968, 11.638155555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
17,"[36.21245966741127, 26.6847691927919, 49.481720563590095, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[281.392397297898, 0, 4844.191134173538, 0, 0, 0]","[3747.6076027021018, 8102, 11266.808865826462, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1459, 2162, 7972, 0, 0, 0]","[542.5482666666667, 78.29360000000001, 2944.3989333333334, 0, 0, 0]","[0.9843999999999998, 0.0092, 0.05506666666666667, 0, 0, 0]","[0.31906666666666667, 0.0, 0.007866666666666666, 0, 0, 0]","[3752.4517333333333, 17101.7064, 31415.601066666666, 4295, 17180, 34360]","[371.0156, 359.9908, 376.48493333333334, 372.0, 360.0, 376.54]","[199.68093333333334, 305.0, 266.74213333333336, 200.0, 305.0, 266.75]","[(9, 8.333333333333333e-05, 0.28627777777777774), (2, 0.0, 0.0015166666666666666), (10, 0.05115, 0.0394), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.09991666666666, 9.823722222222221), (16103, 51.900000000000006, 6.188483333333333), (32202, 58.14885, 11.600599999999998), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
18,"[21.965748324646313, 25.265366576154037, 58.58730060207312, 0.0, 0.0, 0.0]","[2, 2, 5, 0, 0, 0]","[426.67913363334486, 2047.7947659031588, 5052.17107963088, 0, 0, 0]","[3602.320866366655, 6054.205234096841, 11058.82892036912, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[885, 2047, 9439, 0, 0, 0]","[28.833333333333332, 2487.220666666667, 5466.310799999999, 0, 0, 0]","[0.0077333333333333325, 0.0017333333333333335, 0.010666666666666666, 0, 0, 0]","[0.004, 0.002133333333333334, 0.0048, 0, 0, 0]","[4266.166666666667, 14692.779333333332, 28893.6892, 4295, 17180, 34360]","[371.9922666666667, 359.99826666666667, 376.52933333333334, 372.0, 360.0, 376.54]","[199.996, 304.99786666666665, 266.7452, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0002722222222222222), (2, 0.0, 0.0008833333333333334), (11, 0.10721666666666667, 0.04293333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109727777777778), (16103, 51.900000000000006, 6.189116666666666), (32201, 58.09278333333334, 11.597066666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
19,"[24.77041449491189, 38.533695383855836, 48.637576810874556, 0.0, 0.0, 0.0]","[2, 3, 4, 0, 0, 0]","[961.3411791240472, 2766.93234140848, 3505.9490798587076, 0, 0, 0]","[3067.6588208759526, 5335.06765859152, 12605.050920141293, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[998, 3122, 7836, 0, 0, 0]","[161.12959999999998, 2455.0641333333333, 2731.7990666666665, 0, 0, 0]","[0.0172, 0.0004, 0.012933333333333333, 0, 0, 0]","[0.0041333333333333335, 0.004, 0.012933333333333335, 0, 0, 0]","[4133.8704, 14724.935866666667, 31628.200933333334, 4295, 17180, 34360]","[371.9828, 359.9996, 376.5270666666667, 372.0, 360.0, 376.54]","[199.99586666666667, 304.996, 266.7370666666667, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0012833333333333332), (5, 0.04603333333333332, 0.017016666666666666), (8, 0.0008666666666666667, 0.017755555555555552), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108716666666666), (16100, 51.85396666666667, 6.172983333333333), (32204, 58.199133333333336, 11.622244444444442), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
20,"[37.3541821792008, 38.533695383855836, 25.920178759853517, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[690.0754889065469, 1067.0604529593884, 0, 0, 0, 0]","[3338.924511093453, 7034.939547040612, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1505, 3122, 4176, 0, 0, 0]","[99.17573333333335, 2172.6477333333332, 2080.6356, 0, 0, 0]","[0.021866666666666666, 0.00013333333333333337, 0.00013333333333333337, 0, 0, 0]","[0.008400000000000001, 0.0038666666666666667, 0.002133333333333334, 0, 0, 0]","[4195.8242666666665, 15007.352266666667, 32279.3644, 4295, 17180, 34360]","[371.97813333333335, 359.99986666666666, 376.5398666666667, 372.0, 360.0, 376.54]","[199.9916, 304.9961333333333, 266.74786666666665, 200.0, 305.0, 266.75]","[(6, 0.0, 0.00125), (5, 0.04548333333333333, 0.016744444444444444), (4, 0.0, 0.00017777777777777776), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108749999999999), (16100, 51.85451666666667, 6.1732555555555555), (32208, 58.2, 11.639822222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
21,"[38.17324398113676, 23.932362379659345, 30.22779467444603, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[605.2074355786712, 1549.1719836164782, 2777.8402375726946, 0, 0, 0]","[3423.7925644213287, 6552.828016383522, 13333.159762427305, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1538, 1939, 4870, 0, 0, 0]","[44.03693333333333, 3320.489733333334, 712.3313333333334, 0, 0, 0]","[0.01773333333333333, 1.5712000000000002, 0.18666666666666662, 0, 0, 0]","[0.011466666666666667, 0.020666666666666667, 0.686, 0, 0, 0]","[4250.963066666666, 13859.510266666666, 33647.668666666665, 4295, 17180, 34360]","[371.98226666666665, 358.4288, 376.35333333333335, 372.0, 360.0, 376.54]","[199.98853333333332, 304.97933333333333, 266.064, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0005888888888888888), (6, 0.0, 0.00014444444444444444), (2, 0.04698333333333333, 0.5276000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109411111111111), (16099, 51.900000000000006, 6.189855555555555), (32210, 58.15301666666667, 11.1124), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
