interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable
11,"[67.265, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[4459.23337570724, 0, 0, 0, 0, 0]","[15540.766624292759, 30000, 40000, 20000, 30000, 40000]","[20000, 30000, 40000, 20000, 30000, 40000]","[13453, 0, 0, 0, 0, 0]","[(355.46599999999995, 0.005866666666666666, 0.0174), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(2644.534, 2999.994133333333, 2999.9826), (4000, 2000, 2000), (8000, 3000, 3000), (3000, 3000, 3000), (4000, 2000, 2000), (8000, 3000, 3000)]","[(2, 0.0, 0.0029), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(29998, 2000.0, 1999.9971), (40000, 2000, 2000), (80000, 3000, 3000), (30000, 2000, 2000), (40000, 2000, 2000), (80000, 3000, 3000)]"
12,"[66.75, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[4482.968483495435, 0, 0, 0, 0, 0]","[15517.031516504565, 30000, 40000, 20000, 30000, 40000]","[20000, 30000, 40000, 20000, 30000, 40000]","[13350, 0, 0, 0, 0, 0]","[(415.9338666666667, 0.010199999999999999, 0.01813333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(2584.0661333333333, 2999.9898, 2999.9818666666665), (4000, 2000, 2000), (8000, 3000, 3000), (3000, 3000, 3000), (4000, 2000, 2000), (8000, 3000, 3000)]","[(4, 0.0, 0.00395), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(29996, 2000.0, 1999.99605), (40000, 2000, 2000), (80000, 3000, 3000), (30000, 2000, 2000), (40000, 2000, 2000), (80000, 3000, 3000)]"
13,"[69.545, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[5632.290684731794, 0, 0, 0, 0, 0]","[14367.709315268206, 30000, 40000, 20000, 30000, 40000]","[20000, 30000, 40000, 20000, 30000, 40000]","[13909, 0, 0, 0, 0, 0]","[(457.178, 0.005933333333333333, 0.018333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(2542.822, 2999.9940666666666, 2999.9816666666666), (4000, 2000, 2000), (8000, 3000, 3000), (3000, 3000, 3000), (4000, 2000, 2000), (8000, 3000, 3000)]","[(2, 0.0, 0.002288888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(29998, 2000.0, 1999.9977111111111), (40000, 2000, 2000), (80000, 3000, 3000), (30000, 2000, 2000), (40000, 2000, 2000), (80000, 3000, 3000)]"
14,"[92.31, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[5620.051129200863, 0, 0, 0, 0, 0]","[14379.948870799137, 30000, 40000, 20000, 30000, 40000]","[20000, 30000, 40000, 20000, 30000, 40000]","[18462, 0, 0, 0, 0, 0]","[(404.39933333333335, 0.005733333333333334, 0.0184), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(2595.6006666666667, 2999.9942666666666, 2999.9816), (4000, 2000, 2000), (8000, 3000, 3000), (3000, 3000, 3000), (4000, 2000, 2000), (8000, 3000, 3000)]","[(3, 0.0, 0.0037777777777777775), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(29997, 2000.0, 1999.9962222222223), (40000, 2000, 2000), (80000, 3000, 3000), (30000, 2000, 2000), (40000, 2000, 2000), (80000, 3000, 3000)]"
15,"[94.355, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[6752.316002869738, 0, 0, 0, 0, 0]","[13247.683997130262, 30000, 40000, 20000, 30000, 40000]","[20000, 30000, 40000, 20000, 30000, 40000]","[18871, 0, 0, 0, 0, 0]","[(517.2962, 0.006333333333333333, 0.02), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(2482.7038000000002, 2999.9936666666667, 2999.98), (4000, 2000, 2000), (8000, 3000, 3000), (3000, 3000, 3000), (4000, 2000, 2000), (8000, 3000, 3000)]","[(3, 0.0, 0.002838888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(29997, 2000.0, 1999.9971611111112), (40000, 2000, 2000), (80000, 3000, 3000), (30000, 2000, 2000), (40000, 2000, 2000), (80000, 3000, 3000)]"
16,"[72.33500000000001, 0.0, 0.0, 44.5, 0.0, 0.0]","[3, 0, 0, 1, 0, 0]","[2303.8341761461006, 0, 0, 4589.776468542315, 0, 0]","[17696.1658238539, 30000, 40000, 15410.223531457685, 30000, 40000]","[20000, 30000, 40000, 20000, 30000, 40000]","[14467, 0, 0, 8900, 0, 0]","[(248.86093333333332, 0.0008, 0.0051333333333333335), (0, 0, 0), (0, 0, 0), (445.99386666666663, 0.006666666666666668, 0.02), (0, 0, 0), (0, 0, 0)]","[(2751.1390666666666, 2999.9992, 2999.9948666666664), (4000, 2000, 2000), (8000, 3000, 3000), (2554.0061333333333, 2999.9933333333333, 2999.98), (4000, 2000, 2000), (8000, 3000, 3000)]","[(3, 0.0004166666666666667, 0.001961111111111111), (0, 0, 0), (0, 0, 0), (1, 0.0, 0.0023222222222222225), (0, 0, 0), (0, 0, 0)]","[(29997, 1999.9995833333332, 1999.998038888889), (40000, 2000, 2000), (80000, 3000, 3000), (29999, 2000.0, 1999.9976777777779), (40000, 2000, 2000), (80000, 3000, 3000)]"
17,"[72.33500000000001, 0.0, 0.0, 44.5, 0.0, 0.0]","[3, 0, 0, 1, 0, 0]","[2327.206406918597, 0, 0, 4468.134041127813, 0, 0]","[17672.793593081402, 30000, 40000, 15531.865958872186, 30000, 40000]","[20000, 30000, 40000, 20000, 30000, 40000]","[14467, 0, 0, 8900, 0, 0]","[(214.60739999999998, 0.0008666666666666666, 0.003333333333333333), (0, 0, 0), (0, 0, 0), (371.89433333333324, 0.0057333333333333325, 0.017333333333333333), (0, 0, 0), (0, 0, 0)]","[(2785.3926, 2999.9991333333332, 2999.9966666666664), (4000, 2000, 2000), (8000, 3000, 3000), (2628.105666666667, 2999.9942666666666, 2999.982666666667), (4000, 2000, 2000), (8000, 3000, 3000)]","[(5, 0.0, 0.002972222222222222), (0, 0, 0), (0, 0, 0), (1, 0.0, 0.001722222222222222), (0, 0, 0), (0, 0, 0)]","[(29995, 2000.0, 1999.9970277777777), (40000, 2000, 2000), (80000, 3000, 3000), (29999, 2000.0, 1999.9982777777777), (40000, 2000, 2000), (80000, 3000, 3000)]"
18,"[75.125, 0.0, 0.0, 44.5, 0.0, 0.0]","[3, 0, 0, 1, 0, 0]","[2317.189736587527, 0, 0, 4477.0347065483875, 0, 0]","[17682.810263412473, 30000, 40000, 15522.965293451613, 30000, 40000]","[20000, 30000, 40000, 20000, 30000, 40000]","[15025, 0, 0, 8900, 0, 0]","[(251.3074, 0.001, 0.0030666666666666668), (0, 0, 0), (0, 0, 0), (350.92306666666667, 0.0056, 0.017266666666666666), (0, 0, 0), (0, 0, 0)]","[(2748.6926, 2999.999, 2999.9969333333333), (4000, 2000, 2000), (8000, 3000, 3000), (2649.0769333333333, 2999.9944, 2999.9827333333333), (4000, 2000, 2000), (8000, 3000, 3000)]","[(5, 0.0, 0.0022166666666666663), (0, 0, 0), (0, 0, 0), (1, 0.0, 0.002022222222222222), (0, 0, 0), (0, 0, 0)]","[(29995, 2000.0, 1999.9977833333332), (40000, 2000, 2000), (80000, 3000, 3000), (29999, 2000.0, 1999.9979777777778), (40000, 2000, 2000), (80000, 3000, 3000)]"
19,"[75.125, 0.0, 0.0, 44.5, 0.0, 0.0]","[3, 0, 0, 1, 0, 0]","[2347.239747580737, 0, 0, 4500.7698143365815, 0, 0]","[17652.760252419263, 30000, 40000, 15499.230185663419, 30000, 40000]","[20000, 30000, 40000, 20000, 30000, 40000]","[15025, 0, 0, 8900, 0, 0]","[(180.87813333333332, 0.0012666666666666666, 0.003466666666666667), (0, 0, 0), (0, 0, 0), (367.7, 0.0058, 0.017533333333333335), (0, 0, 0), (0, 0, 0)]","[(2819.121866666667, 2999.9987333333333, 2999.9965333333334), (4000, 2000, 2000), (8000, 3000, 3000), (2632.3, 2999.9942, 2999.982466666667), (4000, 2000, 2000), (8000, 3000, 3000)]","[(3, 0.0, 0.0028944444444444443), (0, 0, 0), (0, 0, 0), (1, 0.0, 0.0017166666666666667), (0, 0, 0), (0, 0, 0)]","[(29997, 2000.0, 1999.9971055555557), (40000, 2000, 2000), (80000, 3000, 3000), (29999, 2000.0, 1999.9982833333333), (40000, 2000, 2000), (80000, 3000, 3000)]"
20,"[81.65, 0.0, 0.0, 44.5, 0.0, 0.0]","[3, 0, 0, 1, 0, 0]","[1218.6766405038768, 0, 0, 0, 0, 0]","[18781.323359496124, 30000, 40000, 20000, 30000, 40000]","[20000, 30000, 40000, 20000, 30000, 40000]","[16330, 0, 0, 8900, 0, 0]","[(229.98666666666668, 0.0008, 0.0024), (0, 0, 0), (0, 0, 0), (342.5344, 0.0058, 0.016666666666666666), (0, 0, 0), (0, 0, 0)]","[(2770.0133333333333, 2999.9992, 2999.9976), (4000, 2000, 2000), (8000, 3000, 3000), (2657.4656, 2999.9942, 2999.983333333333), (4000, 2000, 2000), (8000, 3000, 3000)]","[(3, 0.0, 0.002783333333333333), (0, 0, 0), (0, 0, 0), (1, 0.0, 0.0020055555555555556), (0, 0, 0), (0, 0, 0)]","[(29997, 2000.0, 1999.9972166666666), (40000, 2000, 2000), (80000, 3000, 3000), (29999, 2000.0, 1999.9979944444444), (40000, 2000, 2000), (80000, 3000, 3000)]"
21,"[81.14, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[20000, 30000, 40000, 20000, 30000, 40000]","[20000, 30000, 40000, 20000, 30000, 40000]","[16228, 0, 0, 0, 0, 0]","[(142.77986666666663, 0.0005333333333333334, 0.0014666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(2857.2201333333333, 2999.9994666666666, 2999.9985333333334), (4000, 2000, 2000), (8000, 3000, 3000), (3000, 3000, 3000), (4000, 2000, 2000), (8000, 3000, 3000)]","[(5, 0.0, 0.002438888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(29995, 2000.0, 1999.997561111111), (40000, 2000, 2000), (80000, 3000, 3000), (30000, 2000, 2000), (40000, 2000, 2000), (80000, 3000, 3000)]"
