interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,numfailures
32,"[42.0451724993795, 46.087385830659095, 24.815343554093477, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[413.8959424085754, 0, 3699.8827397048517, 0, 0, 0]","[3615.1040575914244, 8102, 12411.117260295148, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1694, 3734, 3998, 0, 0, 0]","[348.6488, 4580.177333333333, 1029.0004000000001, 0, 0, 0]","[0.021733333333333334, 0.0026666666666666666, 0.039066666666666666, 0, 0, 0]","[0.0208, 0.0036, 0.0032, 0, 0, 0]","[3946.3512, 12599.822666666667, 33330.9996, 4295, 17180, 34360]","[371.9782666666667, 359.99733333333336, 376.50093333333336, 372.0, 360.0, 376.54]","[199.9792, 304.9964, 266.7468, 200.0, 305.0, 266.75]","[(5, 0.0, 0.002288888888888889), (5, 0.0, 0.00017777777777777779), (4, 0.135, 0.0638), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.10771111111111), (16100, 51.900000000000006, 6.1898222222222214), (32208, 58.065000000000005, 11.576199999999998), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
33,"[35.44303797468354, 33.26339175512219, 66.76804667618399, 0.0, 0.0, 0.0]","[2, 2, 5, 0, 0, 0]","[1205.0497225317658, 2695.3820380480142, 8128.89673596258, 0, 0, 0]","[2823.950277468234, 5406.617961951986, 7982.10326403742, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1428, 2695, 10757, 0, 0, 0]","[17.473733333333332, 2097.151066666667, 4071.2676, 0, 0, 0]","[0.0, 0.012533333333333334, 0.3930666666666667, 0, 0, 0]","[0.0, 0.0014666666666666665, 0.0284, 0, 0, 0]","[4277.526266666667, 15082.848933333333, 30288.7324, 4295, 17180, 34360]","[372.0, 359.98746666666665, 376.1469333333334, 372.0, 360.0, 376.54]","[200.0, 304.99853333333334, 266.7216, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0001277777777777778), (3, 0.0, 0.0011944444444444446), (9, 0.26225, 0.09395), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109872222222222), (16102, 51.900000000000006, 6.188805555555555), (32203, 57.93775, 11.54605), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
34,"[46.810622983370564, 33.26339175512219, 66.76804667618399, 0.0, 0.0, 0.0]","[3, 2, 5, 0, 0, 0]","[458.24219408979775, 2029.4731956778905, 3003.063952243053, 0, 0, 0]","[3570.7578059102025, 6072.5268043221095, 13107.936047756946, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1886, 2695, 10757, 0, 0, 0]","[37.047200000000004, 2242.5533333333333, 3602.9029333333333, 0, 0, 0]","[0.0, 0.009466666666666667, 0.7778666666666667, 0, 0, 0]","[0.0, 0.0018666666666666669, 0.06280000000000001, 0, 0, 0]","[4257.9528, 14937.446666666667, 30757.097066666665, 4295, 17180, 34360]","[372.0, 359.99053333333336, 375.76213333333334, 372.0, 360.0, 376.54]","[200.0, 304.9981333333333, 266.6872, 200.0, 305.0, 266.75]","[(6, 0.0, 0.001127777777777778), (3, 0.0, 0.0010777777777777778), (9, 0.39944999999999997, 0.1441222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108872222222221), (16102, 51.900000000000006, 6.188922222222222), (32203, 57.80055, 11.495877777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
35,"[23.554231819310004, 65.03332510491236, 28.129849171373593, 0.0, 0.0, 0.0]","[2, 4, 2, 0, 0, 0]","[865.3012973401555, 2516.894486855427, 0, 0, 0, 0]","[3163.6987026598445, 5585.105513144573, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[949, 5269, 4532, 0, 0, 0]","[32.41693333333333, 4857.0017333333335, 732.6038666666667, 0, 0, 0]","[0.0, 0.0212, 0.3917333333333333, 0, 0, 0]","[0.0, 0.0044, 0.0252, 0, 0, 0]","[4262.583066666667, 12322.998266666666, 33627.396133333335, 4295, 17180, 34360]","[372.0, 359.9788, 376.1482666666667, 372.0, 360.0, 376.54]","[200.0, 304.9956, 266.7248, 200.0, 305.0, 266.75]","[(2, 0.0, 0.0006555555555555555), (8, 0.0, 0.0026777777777777776), (3, 0.3679500000000001, 0.11539444444444448), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.109344444444444), (16097, 51.900000000000006, 6.187322222222222), (32209, 57.83205, 11.524605555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
36,"[34.251675353685776, 33.96692174771661, 25.436037489913723, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[352.61113105048065, 2512.6171856643477, 1220.4212174365869, 0, 0, 0]","[3676.3888689495193, 5589.382814335652, 14890.578782563412, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1380, 2752, 4098, 0, 0, 0]","[110.62159999999999, 3000.3234666666663, 229.0256, 0, 0, 0]","[0.00013333333333333337, 0.0088, 1.0622666666666667, 0, 0, 0]","[0.0004, 0.0017333333333333335, 0.8749333333333331, 0, 0, 0]","[4184.3784, 14179.676533333333, 34130.9744, 4295, 17180, 34360]","[371.99986666666666, 359.9912, 375.47773333333333, 372.0, 360.0, 376.54]","[199.9996, 304.99826666666667, 265.87506666666667, 200.0, 305.0, 266.75]","[(3, 0.00065, 0.0010611111111111112), (5, 0.0, 0.0008500000000000001), (3, 0.0, 0.0014888888888888886), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.09935, 10.108938888888888), (16100, 51.900000000000006, 6.18915), (32209, 58.2, 11.638511111111109), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
37,"[25.46537602382725, 56.10960256726734, 12.103531748494817, 0.0, 0.0, 0.0]","[2, 4, 1, 0, 0, 0]","[946.8267900870449, 1814.6674190899512, 0, 0, 0, 0]","[3082.173209912955, 6287.332580910049, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1026, 4546, 1950, 0, 0, 0]","[318.7664, 2559.1342666666665, 37.66026666666667, 0, 0, 0]","[0.0096, 0.008666666666666666, 0.0, 0, 0, 0]","[0.00026666666666666673, 0.002, 0.0, 0, 0, 0]","[3976.2336, 14620.865733333334, 34322.339733333334, 4295, 17180, 34360]","[371.9904, 359.99133333333333, 376.54, 372.0, 360.0, 376.54]","[199.99973333333332, 304.998, 266.75, 200.0, 305.0, 266.75]","[(4, 0.0, 0.0012555555555555555), (10, 0.0, 0.0012777777777777776), (2, 0.0, 2.2222222222222223e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108744444444444), (16095, 51.900000000000006, 6.188722222222221), (32210, 58.2, 11.639977777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
38,"[36.88260114172251, 30.387558627499384, 30.805040034758864, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[794.4237755290906, 668.1037271435606, 1138.092347654695, 0, 0, 0]","[3234.5762244709094, 7433.896272856439, 14972.907652345304, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1486, 2462, 4963, 0, 0, 0]","[230.07333333333332, 2195.4534666666664, 83.886, 0, 0, 0]","[0.009466666666666667, 0.0006666666666666666, 0.018666666666666665, 0, 0, 0]","[0.0005333333333333334, 0.0022666666666666664, 0.0004000000000000001, 0, 0, 0]","[4064.9266666666667, 14984.546533333334, 34276.114, 4295, 17180, 34360]","[371.99053333333336, 359.9993333333333, 376.52133333333336, 372.0, 360.0, 376.54]","[199.99946666666668, 304.9977333333333, 266.7496, 200.0, 305.0, 266.75]","[(7, 0.00065, 0.0013166666666666665), (5, 0.0, 0.0002166666666666667), (4, 0.0, 0.0025333333333333336), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.09935, 10.108683333333333), (16100, 51.900000000000006, 6.189783333333333), (32208, 58.2, 11.637466666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
39,"[37.85058327128319, 25.981239200197482, 30.147104462789397, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[267.6050180976449, 426.392095219676, 4857.178381052587, 0, 0, 0]","[3761.394981902355, 7675.607904780324, 11253.821618947413, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1525, 2105, 4857, 0, 0, 0]","[32.154266666666665, 51.989866666666664, 645.9216000000001, 0, 0, 0]","[0.0092, 0.00013333333333333337, 0.04853333333333333, 0, 0, 0]","[0.0, 0.00013333333333333337, 0.0032, 0, 0, 0]","[4262.845733333334, 17128.010133333333, 33714.0784, 4295, 17180, 34360]","[371.9908, 359.99986666666666, 376.49146666666667, 372.0, 360.0, 376.54]","[200.0, 304.99986666666666, 266.7468, 200.0, 305.0, 266.75]","[(8, 0.0, 0.0011277777777777777), (5, 0.0, 0.0004944444444444445), (4, 0.05115, 0.038427777777777776), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.108872222222221), (16100, 51.900000000000006, 6.189505555555555), (32208, 58.14885, 11.60157222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
40,"[24.91933482253661, 50.35793631202172, 46.961703184159894, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[292.65991900139494, 1899.5237542752798, 3958.8857164808655, 0, 0, 0]","[3736.340080998605, 6202.47624572472, 12152.114283519135, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1004, 4080, 7566, 0, 0, 0]","[173.18786666666665, 2252.5132, 1037.3899999999999, 0, 0, 0]","[0.16893333333333332, 0.0004, 0.016666666666666666, 0, 0, 0]","[0.009466666666666667, 0.0018666666666666664, 0.0037333333333333333, 0, 0, 0]","[4121.812133333333, 14927.4868, 33322.61, 4295, 17180, 34360]","[371.8310666666667, 359.9996, 376.52333333333337, 372.0, 360.0, 376.54]","[199.99053333333333, 304.9981333333333, 266.74626666666666, 200.0, 305.0, 266.75]","[(4, 0.0, 0.08105555555555555), (8, 0.0, 0.0007833333333333334), (7, 0.06125, 0.027188888888888887), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.028944444444443), (16097, 51.900000000000006, 6.189216666666666), (32205, 58.13875, 11.61281111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
41,"[23.35567138247704, 45.86521846457664, 46.42790639935448, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[248.71930150793688, 2105.9523945783476, 3318.7826019040003, 0, 0, 0]","[3780.280698492063, 5996.047605421652, 12792.217398096, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[941, 3716, 7480, 0, 0, 0]","[208.3164, 3054.062666666667, 7883.890933333334, 0, 0, 0]","[0.1784, 1.5801333333333334, 1.2430666666666668, 0, 0, 0]","[0.008533333333333334, 0.0356, 0.09946666666666666, 0, 0, 0]","[4086.6836, 14125.937333333333, 26476.109066666664, 4295, 17180, 34360]","[371.8216, 358.4198666666667, 375.29693333333336, 372.0, 360.0, 376.54]","[199.99146666666667, 304.9644, 266.6505333333333, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0764611111111111), (6, 0.0, 0.0003333333333333334), (9, 3.2039999999999997, 0.7171000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.033538888888888), (16099, 51.900000000000006, 6.189666666666666), (32203, 54.996, 10.922899999999998), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
42,"[24.72077438570365, 37.26240434460627, 45.19893240643039, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[727.063749557718, 2991.403470439528, 3350.3594131118716, 0, 0, 0]","[3301.936250442282, 5110.596529560472, 12760.640586888128, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[996, 3019, 7282, 0, 0, 0]","[150.9948, 65.62093333333334, 7010.079066666667, 0, 0, 0]","[0.018666666666666668, 0.0316, 1.2459999999999998, 0, 0, 0]","[0.0002666666666666667, 0.03186666666666667, 0.09920000000000001, 0, 0, 0]","[4144.0052, 17114.37906666667, 27349.920933333335, 4295, 17180, 34360]","[371.98133333333334, 359.9684, 375.29400000000004, 372.0, 360.0, 376.54]","[199.99973333333332, 304.96813333333336, 266.6508, 200.0, 305.0, 266.75]","[(5, 0.0, 0.002122222222222222), (6, 0.0, 0.009105555555555556), (9, 2.814516666666667, 0.6673333333333331), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.107877777777777), (16099, 51.900000000000006, 6.180894444444444), (32203, 55.38548333333333, 10.972666666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
43,"[37.652022834450236, 37.26240434460627, 28.384333685059897, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[776.2583056232424, 2039.486986180717, 1243.311401391711, 0, 0, 0]","[3252.7416943767576, 6062.5130138192835, 14867.688598608289, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1517, 3019, 4573, 0, 0, 0]","[95.0708, 60.63973333333334, 6839.511200000001, 0, 0, 0]","[0.018533333333333332, 0.0, 1.2342666666666666, 0, 0, 0]","[0.00013333333333333337, 0.0, 0.1048, 0, 0, 0]","[4199.9292, 17119.360266666667, 27520.4888, 4295, 17180, 34360]","[371.9814666666667, 360.0, 375.30573333333336, 372.0, 360.0, 376.54]","[199.99986666666666, 305.0, 266.6452, 200.0, 305.0, 266.75]","[(8, 0.0, 0.0020555555555555553), (6, 0.0, 0.0057888888888888886), (6, 2.056766666666667, 0.670838888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.107944444444444), (16099, 51.900000000000006, 6.184211111111111), (32206, 56.143233333333335, 10.96916111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
44,"[42.367833209233055, 42.80424586521846, 23.16429768481162, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[703.1757997152864, 762.5521196399111, 2675.262080021825, 0, 0, 0]","[3325.8242002847137, 7339.447880360089, 13435.737919978175, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1707, 3468, 3732, 0, 0, 0]","[174.4124, 292.6370666666666, 178.694, 0, 0, 0]","[0.010400000000000001, 0.03493333333333333, 0.0, 0, 0, 0]","[0.007866666666666666, 0.007066666666666666, 0.002, 0, 0, 0]","[4120.5876, 16887.362933333334, 34181.306, 4295, 17180, 34360]","[371.9896, 359.96506666666664, 376.54, 372.0, 360.0, 376.54]","[199.99213333333333, 304.9929333333333, 266.748, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0015166666666666666), (6, 0.0032333333333333337, 0.0008500000000000001), (5, 0.0, 2.2222222222222223e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108483333333332), (16099, 51.89676666666667, 6.18915), (32207, 58.2, 11.639977777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
45,"[45.96674112683048, 26.37620340656628, 49.723791198559994, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[815.3886230663878, 815.3310623623827, 5667.940572409498, 0, 0, 0]","[3213.611376933612, 7286.668937637617, 10443.059427590502, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1852, 2137, 8011, 0, 0, 0]","[15.377333333333334, 356.42626666666666, 2602.126, 0, 0, 0]","[0.0, 0.0016, 0.1032, 0, 0, 0]","[0.0, 0.0017333333333333335, 0.11293333333333332, 0, 0, 0]","[4279.622666666667, 16823.573733333335, 31757.874, 4295, 17180, 34360]","[372.0, 359.9984, 376.4368, 372.0, 360.0, 376.54]","[200.0, 304.99826666666667, 266.63706666666667, 200.0, 305.0, 266.75]","[(7, 0.0, 2.2222222222222223e-05), (2, 1.666666666666667e-05, 0.00033333333333333327), (9, 0.0, 0.0005222222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109977777777777), (16103, 51.89998333333334, 6.189666666666666), (32203, 58.2, 11.639477777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
46,"[47.00918342020353, 23.413971858800295, 54.2672708087642, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[676.8715901439566, 1001.7714058927403, 4165.808216992642, 0, 0, 0]","[3352.1284098560436, 7100.22859410726, 11945.191783007358, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1894, 1897, 8743, 0, 0, 0]","[50.15386666666666, 191.8004, 2568.9216000000006, 0, 0, 0]","[0.0, 0.0017333333333333335, 0.10693333333333332, 0, 0, 0]","[0.0, 0.0018666666666666669, 0.10613333333333334, 0, 0, 0]","[4244.8461333333335, 16988.1996, 31791.0784, 4295, 17180, 34360]","[372.0, 359.99826666666667, 376.43306666666666, 372.0, 360.0, 376.54]","[200.0, 304.9981333333333, 266.64386666666667, 200.0, 305.0, 266.75]","[(7, 0.0, 2.2222222222222223e-05), (4, 0.0, 0.0018222222222222223), (8, 0.0, 0.0016277777777777775), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109977777777777), (16101, 51.900000000000006, 6.188177777777777), (32204, 58.2, 11.638372222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
47,"[42.56639364606602, 22.74746976055295, 42.59201787598535, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[317.8853161136635, 1385.2207467031355, 2849.172822237297, 0, 0, 0]","[3711.1146838863365, 6716.779253296864, 13261.827177762703, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1715, 1843, 6862, 0, 0, 0]","[109.05066666666667, 931.1341333333332, 99.9632, 0, 0, 0]","[0.009333333333333334, 0.013466666666666667, 0.10693333333333332, 0, 0, 0]","[0.00013333333333333337, 0.41906666666666664, 0.10466666666666664, 0, 0, 0]","[4185.949333333333, 16248.865866666667, 34260.0368, 4295, 17180, 34360]","[371.99066666666664, 359.98653333333334, 376.43306666666666, 372.0, 360.0, 376.54]","[199.99986666666666, 304.58093333333335, 266.6453333333333, 200.0, 305.0, 266.75]","[(8, 0.0, 0.0011277777777777777), (5, 0.21001666666666666, 0.11937222222222224), (6, 0.0, 0.0015166666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.108872222222221), (16100, 51.68998333333334, 6.070627777777777), (32206, 58.2, 11.638483333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
48,"[27.20277984611566, 46.06270056776104, 26.15604245546521, 0.0, 0.0, 0.0]","[2, 4, 2, 0, 0, 0]","[389.072940082895, 1365.431471826432, 1700.3789519328436, 0, 0, 0]","[3639.927059917105, 6736.568528173568, 14410.621048067156, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1096, 3732, 4214, 0, 0, 0]","[167.77119999999996, 3848.9697333333334, 86.682, 0, 0, 0]","[0.009733333333333333, 0.30706666666666665, 0.0092, 0, 0, 0]","[0.0021333333333333334, 1.5871999999999997, 0.0, 0, 0, 0]","[4127.2288, 13331.030266666667, 34273.318, 4295, 17180, 34360]","[371.9902666666667, 359.6929333333333, 376.5308, 372.0, 360.0, 376.54]","[199.99786666666665, 303.4128, 266.75, 200.0, 305.0, 266.75]","[(3, 0.0, 0.001672222222222222), (11, 0.06334999999999999, 0.24026111111111112), (4, 0.0, 0.001127777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.108327777777777), (16094, 51.836650000000006, 5.949738888888889), (32208, 58.2, 11.63887222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
49,"[31.99305038471085, 33.522587015551714, 36.85680590900627, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[1202.9647040523741, 1460.2443375668245, 3788.3694438646644, 0, 0, 0]","[2826.035295947626, 6641.7556624331755, 12322.630556135337, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1289, 2716, 5938, 0, 0, 0]","[153.96426666666665, 3084.2092000000002, 369.0968, 0, 0, 0]","[0.0019999999999999996, 0.3972, 0.6269333333333335, 0, 0, 0]","[0.004, 1.5321333333333336, 0.047999999999999994, 0, 0, 0]","[4141.035733333333, 14095.790799999999, 33990.9032, 4295, 17180, 34360]","[371.998, 359.6028, 375.9130666666667, 372.0, 360.0, 376.54]","[199.996, 303.4678666666667, 266.702, 200.0, 305.0, 266.75]","[(4, 0.0, 0.00065), (9, 0.053733333333333334, 0.1251611111111111), (5, 0.003, 0.06099999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.10935), (16096, 51.84626666666667, 6.064838888888889), (32207, 58.197, 11.578999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
50,"[47.356664184661206, 22.994322389533448, 43.119607721432565, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[800.0675993040485, 1711.422302216494, 5614.3102447576575, 0, 0, 0]","[3228.9324006959514, 6390.577697783506, 10496.689755242343, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1908, 1863, 6947, 0, 0, 0]","[183.67266666666666, 2977.9543999999996, 651.5134666666667, 0, 0, 0]","[0.0026666666666666666, 0.27266666666666667, 0.46519999999999995, 0, 0, 0]","[0.004933333333333333, 0.9564, 0.04666666666666667, 0, 0, 0]","[4111.327333333334, 14202.045600000001, 33708.48653333334, 4295, 17180, 34360]","[371.99733333333336, 359.7273333333333, 376.07480000000004, 372.0, 360.0, 376.54]","[199.99506666666667, 304.0436, 266.7033333333333, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0006333333333333333), (6, 0.06326666666666667, 0.13467777777777779), (6, 0.0002833333333333333, 0.09472222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109366666666666), (16099, 51.83673333333334, 6.055322222222221), (32206, 58.19971666666667, 11.545277777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
51,"[45.69372052618515, 34.695137003209084, 43.119607721432565, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[1229.7800358959328, 575.6752832482554, 1699.2180341187577, 0, 0, 0]","[2799.219964104067, 7526.324716751745, 14411.781965881242, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1841, 2811, 6947, 0, 0, 0]","[75.14546666666665, 3556.7679999999996, 813.6934666666666, 0, 0, 0]","[0.0038666666666666667, 0.3854666666666667, 0.4689333333333333, 0, 0, 0]","[0.004, 0.9757333333333332, 0.04373333333333333, 0, 0, 0]","[4219.854533333333, 13623.232, 33546.306533333336, 4295, 17180, 34360]","[371.9961333333333, 359.6145333333333, 376.0710666666667, 372.0, 360.0, 376.54]","[199.996, 304.0242666666667, 266.7062666666667, 200.0, 305.0, 266.75]","[(7, 0.0, 0.00016666666666666666), (7, 0.08966666666666667, 0.15192222222222224), (6, 0.0021000000000000003, 0.05460555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109833333333333), (16098, 51.81033333333334, 6.038077777777778), (32206, 58.197900000000004, 11.585394444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
52,"[45.69372052618515, 24.84571710688719, 54.658307988330954, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[912.1126579030614, 1023.2367773203464, 1765.685182449271, 0, 0, 0]","[3116.8873420969385, 7078.763222679654, 14345.314817550729, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1841, 2013, 8806, 0, 0, 0]","[67.80466666666668, 211.11253333333337, 745.5354666666667, 0, 0, 0]","[0.003733333333333333, 0.018133333333333335, 0.007066666666666666, 0, 0, 0]","[0.004, 0.0016, 0.0032, 0, 0, 0]","[4227.195333333333, 16968.887466666667, 33614.46453333333, 4295, 17180, 34360]","[371.99626666666666, 359.9818666666667, 376.53293333333335, 372.0, 360.0, 376.54]","[199.996, 304.9984, 266.7468, 200.0, 305.0, 266.75]","[(7, 0.0, 0.00016666666666666666), (4, 0.0, 0.002794444444444444), (7, 0.05556666666666666, 0.028211111111111107), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109833333333333), (16101, 51.900000000000006, 6.187205555555555), (32205, 58.14443333333334, 11.611788888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
