interval,totalcontainers,newcontainers,deployed,migrations,inqueue
691,2064,2,2,2,0
692,2068,4,4,4,0
693,2069,1,1,1,0
694,2075,6,6,6,0
695,2077,2,2,2,0
696,2079,2,2,2,0
697,2083,4,4,4,0
698,2087,4,4,4,0
699,2089,2,2,2,0
700,2091,2,2,2,0
701,2095,4,4,4,0
702,2097,2,2,2,0
703,2101,4,4,4,0
704,2103,2,2,2,0
705,2106,3,3,3,0
706,2109,3,3,3,0
707,2113,4,4,4,0
708,2116,3,3,3,0
709,2119,3,3,3,0
710,2121,2,2,2,0
711,2125,4,4,4,0
712,2127,2,2,2,0
713,2130,3,3,3,0
714,2133,3,3,3,0
715,2136,3,3,3,0
716,2138,2,2,2,0
717,2141,3,3,3,0
718,2146,5,5,5,0
719,2148,2,2,2,0
720,2151,3,3,3,0
721,2153,2,2,2,0
722,2157,4,4,4,0
723,2159,2,2,2,0
724,2163,4,4,4,0
725,2166,3,3,3,0
726,2168,2,2,2,0
727,2171,3,3,3,0
728,2175,4,4,4,0
729,2178,3,3,3,0
730,2182,4,4,4,0
731,2185,3,3,3,0
732,2187,2,2,2,0
733,2191,4,4,4,0
734,2196,5,5,5,0
735,2198,2,2,2,0
736,2199,1,1,1,0
737,2203,4,4,4,0
738,2205,2,2,2,0
739,2209,4,4,4,0
740,2213,4,4,4,0
741,2216,3,3,3,0
742,2217,1,1,1,0
743,2222,5,5,5,0
744,2224,2,2,2,0
745,2226,2,2,2,0
746,2230,4,4,4,0
747,2232,2,2,2,0
748,2235,3,3,3,0
749,2238,3,3,3,0
750,2241,3,3,3,0
751,2244,3,3,3,0
752,2247,3,3,3,0
753,2251,4,4,4,0
754,2253,2,2,2,0
755,2256,3,3,3,0
756,2259,3,3,3,0
757,2264,5,5,5,0
758,2266,2,2,2,0
759,2269,3,3,3,0
760,2272,3,3,3,0
761,2275,3,3,3,0
762,2278,3,3,3,0
763,2280,2,2,2,0
764,2283,3,3,3,0
765,2286,3,3,3,0
766,2290,4,4,4,0
767,2292,2,2,2,0
768,2296,4,4,4,0
769,2298,2,2,2,0
770,2300,2,2,2,0
771,2305,5,5,5,0
772,2308,3,3,3,0
773,2311,3,3,3,0
774,2314,3,3,3,0
775,2318,4,4,4,0
776,2320,2,2,2,0
777,2325,5,5,5,0
778,2326,1,1,1,0
779,2328,2,2,2,0
780,2332,4,4,4,0
781,2334,2,2,2,0
782,2338,4,4,4,0
783,2340,2,2,2,0
784,2345,5,5,5,0
785,2346,1,1,1,0
786,2351,5,5,5,0
787,2353,2,2,2,0
788,2356,3,3,3,0
789,2359,3,3,3,0
790,2361,2,2,2,0
791,2364,3,3,3,0
792,2367,3,3,3,0
793,2370,3,3,3,0
794,2373,3,3,3,0
795,2376,3,3,3,0
796,2380,4,4,4,0
797,2382,2,2,2,0
798,2387,5,5,5,0
799,2388,1,1,1,0
800,2390,2,2,2,0
801,2394,4,4,4,0
802,2398,4,4,4,0
803,2403,5,5,5,0
804,2405,2,2,2,0
805,2406,1,1,1,0
806,2408,2,2,2,0
807,2412,4,4,4,0
808,2415,3,3,3,0
809,2418,3,3,3,0
810,2421,3,3,3,0
811,2424,3,3,3,0
812,2429,5,5,5,0
813,2430,1,1,1,0
814,2432,2,2,2,0
815,2436,4,4,4,0
816,2439,3,3,3,0
817,2441,2,2,2,0
818,2444,3,3,3,0
819,2449,5,5,5,0
820,2451,2,2,2,0
821,2455,4,4,4,0
822,2459,4,4,4,0
823,2460,1,1,1,0
824,2463,3,3,3,0
825,2466,3,3,3,0
826,2469,3,3,3,0
827,2472,3,3,3,0
828,2475,3,3,3,0
829,2478,3,3,3,0
830,2480,2,2,2,0
831,2484,4,4,4,0
832,2486,2,2,2,0
833,2490,4,4,4,0
834,2493,3,3,3,0
835,2497,4,4,4,0
836,2498,1,1,1,0
837,2503,5,5,5,0
838,2506,3,3,3,0
839,2509,3,3,3,0
840,2511,2,2,2,0
841,2515,4,4,4,0
842,2518,3,3,3,0
843,2521,3,3,3,0
844,2523,2,2,2,0
845,2525,2,2,2,0
846,2529,4,4,4,0
847,2532,3,3,3,0
848,2534,2,2,2,0
849,2536,2,2,2,0
850,2541,5,5,5,0
851,2542,1,1,1,0
852,2548,6,6,6,0
853,2551,3,3,3,0
854,2553,2,2,2,0
855,2556,3,3,3,0
856,2561,5,5,5,0
857,2562,1,1,1,0
858,2565,3,3,3,0
859,2569,4,4,4,0
860,2571,2,2,2,0
861,2573,2,2,2,0
862,2576,3,3,3,0
863,2580,4,4,4,0
864,2584,4,4,4,0
865,2587,3,3,3,0
866,2590,3,3,3,0
867,2593,3,3,3,0
868,2595,2,2,2,0
869,2598,3,3,3,0
870,2601,3,3,3,0
871,2604,3,3,3,0
872,2607,3,3,3,0
873,2609,2,2,2,0
874,2612,3,3,3,0
875,2616,4,4,4,0
876,2619,3,3,3,0
877,2624,5,5,5,0
878,2625,1,1,1,0
879,2628,3,3,3,0
880,2632,4,4,4,0
881,2637,5,5,5,0
882,2638,1,1,1,0
883,2641,3,3,3,0
884,2646,5,5,5,0
885,2647,1,1,1,0
886,2650,3,3,3,0
887,2653,3,3,3,0
888,2656,3,3,3,0
889,2660,4,4,4,0
890,2662,2,2,2,0
891,2665,3,3,3,0
892,2666,1,1,1,0
893,2671,5,5,5,0
894,2673,2,2,2,0
895,2676,3,3,3,0
896,2678,2,2,2,0
897,2684,6,6,6,0
898,2685,1,1,1,0
899,2689,4,4,4,0
900,2692,3,3,3,0
901,2693,1,1,1,0
902,2698,5,5,5,0
903,2699,1,1,1,0
904,2701,2,2,2,0
905,2706,5,5,5,0
906,2709,3,3,3,0
907,2712,3,3,3,0
908,2716,4,4,4,0
909,2718,2,2,2,0
910,2721,3,3,3,0
911,2726,5,5,5,0
912,2728,2,2,2,0
913,2731,3,3,3,0
914,2734,3,3,3,0
915,2736,2,2,2,0
916,2738,2,2,2,0
917,2742,4,4,4,0
918,2745,3,3,3,0
919,2747,2,2,2,0
920,2751,4,4,4,0
921,2753,2,2,2,0
922,2757,4,4,4,0
923,2761,4,4,4,0
924,2762,1,1,1,0
