criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score,total time
gini, None, None, 20, 20, 500, 0.553 , 2.7min
gini, None, None, 50, 2, 500, 0.531 , 2.5min
gini, None, None, 50, 5, 200, 0.521 , 1.0min
gini, None, None, 50, 5, 1000, 0.531 , 5.0min
gini, None, None, 50, 20, 1000, 0.528 , 5.1min
gini, None, None, 100, 5, 500, 0.470 , 2.3min
gini, None, None, 100, 10, 500, 0.476 , 2.4min
gini, None, None, 100, 20, 200, 0.482 ,  54.5s
gini, None, None, 100, 20, 1000, 0.472 , 4.6min
gini, None, sqrt, 1, 10, 200, 0.648 ,  32.6s
gini, None, sqrt, 1, 10, 1000, 0.590 , 2.6min
gini, None, sqrt, 5, 2, 200, 0.574 ,  29.8s
gini, None, sqrt, 5, 2, 1000, 0.575 , 2.5min
gini, None, sqrt, 5, 10, 1000, 0.548 , 2.5min
gini, None, sqrt, 20, 2, 500, 0.529 , 1.2min
gini, None, sqrt, 20, 5, 500, 0.534 , 1.2min
gini, None, sqrt, 20, 10, 200, 0.531 ,  27.5s
gini, None, sqrt, 20, 20, 200, 0.539 ,  31.3s
gini, None, sqrt, 20, 20, 200, 0.533 ,  28.0s
gini, None, sqrt, 20, 20, 1000, 0.520 , 2.3min
gini, None, sqrt, 50, 5, 500, 0.448 , 1.1min
gini, None, sqrt, 50, 10, 200, 0.435 ,  25.8s
gini, None, sqrt, 50, 20, 200, 0.464 ,  29.3s
gini, None, sqrt, 50, 20, 200, 0.468 ,  26.0s
gini, None, sqrt, 50, 20, 1000, 0.445 , 2.1min
gini, None, sqrt, 100, 5, 500, 0.339 , 1.0min
gini, None, sqrt, 100, 10, 500, 0.338 , 1.0min
gini, None, sqrt, 100, 20, 500, 0.331 ,  58.9s
gini, None, log2, 1, 2, 200, 0.594 ,  32.6s
gini, None, log2, 1, 2, 1000, 0.628 , 2.7min
gini, None, log2, 1, 10, 1000, 0.592 , 2.6min
gini, None, log2, 5, 2, 500, 0.573 , 1.3min
gini, None, log2, 5, 5, 500, 0.591 , 1.3min
gini, None, log2, 5, 10, 500, 0.549 , 1.3min
gini, None, log2, 5, 20, 200, 0.575 ,  29.2s
gini, None, log2, 20, 2, 200, 0.536 ,  32.1s
gini, None, None, 1, 2, 500, 0.653 , 3.0min
gini, None, None, 1, 5, 1000, 0.680 , 6.1min
gini, None, None, 1, 20, 1000, 0.636 , 5.9min
gini, None, None, 5, 5, 500, 0.654 , 3.0min
gini, None, None, 5, 10, 500, 0.653 , 3.0min
gini, None, None, 5, 20, 200, 0.629 , 1.1min
gini, None, None, 5, 20, 1000, 0.633 , 5.7min
gini, None, None, 20, 5, 1000, 0.562 , 5.4min
gini, None, None, 20, 20, 500, 0.558 , 2.7min
gini, None, None, 50, 2, 500, 0.517 , 2.5min
gini, None, None, 50, 5, 200, 0.528 ,  59.0s
gini, None, None, 50, 10, 200, 0.524 , 1.1min
gini, None, None, 50, 10, 200, 0.530 , 1.0min
gini, None, None, 50, 10, 1000, 0.530 , 5.1min
gini, None, None, 100, 2, 200, 0.477 ,  56.1s
gini, None, None, 100, 5, 200, 0.492 , 1.0min
gini, None, None, 100, 5, 200, 0.481 ,  58.4s
gini, None, None, 100, 5, 1000, 0.495 , 4.8min
gini, None, None, 100, 20, 500, 0.480 , 2.4min
gini, None, sqrt, 1, 2, 500, 0.644 , 1.4min
gini, None, sqrt, 1, 5, 200, 0.599 ,  35.1s
gini, None, sqrt, 1, 5, 500, 0.648 , 1.3min
gini, None, sqrt, 1, 10, 500, 0.629 , 1.4min
gini, None, sqrt, 1, 20, 500, 0.608 , 1.3min
gini, None, sqrt, 5, 2, 500, 0.576 , 1.3min
gini, None, sqrt, 5, 5, 500, 0.586 , 1.3min
gini, None, sqrt, 5, 10, 500, 0.585 , 1.3min
gini, None, sqrt, 5, 20, 200, 0.555 ,  28.4s
gini, None, sqrt, 5, 20, 1000, 0.570 , 2.5min
gini, None, sqrt, 20, 5, 1000, 0.515 , 2.3min
gini, None, sqrt, 20, 20, 500, 0.523 , 1.2min
gini, None, sqrt, 50, 2, 500, 0.469 , 1.1min
gini, None, sqrt, 50, 5, 200, 0.454 ,  25.3s
gini, None, sqrt, 50, 5, 1000, 0.438 , 2.1min
gini, None, sqrt, 50, 20, 1000, 0.466 , 2.1min
gini, None, sqrt, 100, 5, 500, 0.333 , 1.0min
gini, None, sqrt, 100, 10, 500, 0.332 ,  59.7s
gini, None, sqrt, 100, 20, 200, 0.330 ,  22.3s
gini, None, sqrt, 100, 20, 1000, 0.328 , 2.1min
gini, None, log2, 1, 5, 500, 0.599 , 1.4min
gini, None, log2, 1, 10, 200, 0.629 ,  30.7s
gini, None, log2, 1, 20, 200, 0.636 ,  34.1s
gini, None, log2, 1, 20, 200, 0.569 ,  30.3s
gini, None, log2, 1, 20, 1000, 0.571 , 2.5min
gini, None, log2, 5, 5, 200, 0.557 ,  29.2s
gini, None, log2, 5, 5, 1000, 0.590 , 2.6min
gini, None, log2, 5, 20, 1000, 0.547 , 2.5min
gini, None, None, 1, 2, 1000, 0.603 , 5.9min
gini, None, None, 1, 10, 1000, 0.684 , 6.1min
gini, None, None, 5, 2, 500, 0.632 , 2.9min
gini, None, None, 5, 5, 200, 0.631 , 1.2min
gini, None, None, 5, 5, 1000, 0.630 , 5.8min
gini, None, None, 5, 20, 1000, 0.609 , 5.8min
gini, None, None, 20, 5, 500, 0.558 , 2.7min
gini, None, None, 20, 10, 500, 0.561 , 2.7min
gini, None, None, 20, 20, 500, 0.560 , 2.8min
gini, None, None, 50, 2, 200, 0.523 , 1.0min
gini, None, None, 50, 5, 200, 0.528 , 1.1min
gini, None, None, 50, 5, 200, 0.530 , 1.1min
gini, None, None, 50, 5, 1000, 0.529 , 5.1min
gini, None, None, 50, 20, 500, 0.515 , 2.5min
gini, None, None, 100, 2, 200, 0.478 ,  54.7s
