criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score,total time
entropy, 5, sqrt, 100, 5, 200, 0.234 ,  22.4s
entropy, 5, sqrt, 100, 5, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 100, 20, 1000, 0.234 , 1.9min
entropy, 5, log2, 1, 5, 500, 0.236 ,  59.4s
entropy, 5, log2, 1, 10, 200, 0.241 ,  22.2s
entropy, 5, log2, 1, 20, 200, 0.238 ,  26.3s
entropy, 5, log2, 1, 20, 200, 0.234 ,  24.1s
entropy, 5, log2, 1, 20, 1000, 0.238 , 1.9min
entropy, 5, log2, 5, 5, 500, 0.234 ,  58.0s
entropy, 5, log2, 5, 10, 200, 0.234 ,  21.3s
entropy, 5, log2, 5, 10, 1000, 0.234 , 1.9min
entropy, 5, log2, 20, 2, 1000, 0.238 , 1.9min
entropy, 5, log2, 20, 10, 200, 0.236 ,  22.2s
entropy, 5, log2, 20, 20, 200, 0.238 ,  25.6s
entropy, 5, log2, 20, 20, 200, 0.238 ,  23.3s
entropy, 5, log2, 20, 20, 1000, 0.238 , 1.9min
entropy, 5, None, 5, 2, 200, 0.438 ,  57.4s
entropy, 5, None, 5, 5, 200, 0.436 , 1.1min
entropy, 5, None, 5, 5, 200, 0.444 , 1.0min
entropy, 5, None, 5, 5, 1000, 0.434 , 4.9min
entropy, 5, None, 5, 20, 500, 0.432 , 2.5min
entropy, 5, None, 20, 2, 200, 0.430 ,  57.1s
entropy, 5, None, 20, 5, 200, 0.429 , 1.1min
entropy, 5, None, 20, 5, 200, 0.444 ,  59.8s
entropy, 5, None, 20, 5, 1000, 0.428 , 4.8min
entropy, 5, None, 20, 20, 500, 0.438 , 2.5min
entropy, 5, None, 50, 2, 200, 0.426 ,  57.5s
entropy, 5, None, 50, 5, 200, 0.426 , 1.1min
entropy, 5, None, 50, 5, 200, 0.421 ,  58.5s
entropy, 5, None, 50, 5, 1000, 0.430 , 4.7min
entropy, 5, None, 50, 20, 500, 0.431 , 2.4min
entropy, 5, None, 100, 2, 500, 0.413 , 2.4min
entropy, 5, None, 100, 5, 200, 0.407 ,  54.7s
entropy, 5, None, 100, 5, 1000, 0.411 , 4.7min
entropy, 5, None, 100, 20, 1000, 0.409 , 4.5min
entropy, 5, sqrt, 1, 10, 500, 0.234 ,  57.2s
entropy, 5, sqrt, 1, 20, 200, 0.234 ,  25.6s
entropy, 5, sqrt, 1, 20, 1000, 0.238 , 1.9min
entropy, 5, sqrt, 5, 5, 500, 0.236 ,  58.5s
entropy, 5, sqrt, 5, 10, 500, 0.236 ,  57.6s
entropy, 5, sqrt, 5, 20, 200, 0.238 ,  22.2s
entropy, 5, sqrt, 5, 20, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 20, 5, 1000, 0.238 , 1.9min
entropy, 5, sqrt, 20, 20, 200, 0.240 ,  22.8s
entropy, 5, sqrt, 20, 20, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 50, 5, 1000, 0.236 , 1.9min
entropy, 5, sqrt, 50, 20, 200, 0.234 ,  21.8s
entropy, 5, sqrt, 50, 20, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 100, 5, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 100, 20, 500, 0.234 ,  57.8s
entropy, 5, log2, 1, 2, 200, 0.238 ,  21.7s
entropy, 5, log2, 1, 2, 1000, 0.234 , 1.9min
entropy, 5, log2, 1, 10, 1000, 0.234 , 1.9min
entropy, 5, log2, 5, 2, 500, 0.236 ,  58.8s
entropy, 5, log2, 5, 5, 500, 0.236 ,  58.6s
entropy, 5, log2, 5, 10, 200, 0.234 ,  22.1s
entropy, 5, log2, 5, 10, 1000, 0.238 , 1.9min
entropy, 5, log2, 20, 2, 1000, 0.234 , 1.9min
entropy, 5, log2, 20, 10, 500, 0.234 ,  57.9s
entropy, 5, log2, 20, 20, 200, 0.238 ,  21.9s
entropy, 5, log2, 50, 2, 200, 0.236 ,  26.8s
entropy, 5, log2, 50, 2, 200, 0.234 ,  23.8s
entropy, 5, log2, 50, 2, 1000, 0.234 , 1.9min
entropy, 5, None, 5, 2, 1000, 0.429 , 4.8min
entropy, 5, None, 5, 10, 500, 0.429 , 2.5min
entropy, 5, None, 5, 20, 500, 0.434 , 2.5min
entropy, 5, None, 20, 2, 200, 0.421 ,  56.1s
entropy, 5, None, 20, 2, 1000, 0.434 , 4.7min
entropy, 5, None, 20, 10, 1000, 0.431 , 4.8min
entropy, 5, None, 50, 2, 500, 0.430 , 2.4min
entropy, 5, None, 50, 5, 200, 0.432 ,  57.7s
entropy, 5, None, 50, 10, 200, 0.431 , 1.1min
entropy, 5, None, 50, 10, 200, 0.432 ,  59.2s
entropy, 5, None, 50, 10, 1000, 0.427 , 4.8min
entropy, 5, None, 100, 2, 500, 0.406 , 2.4min
entropy, 5, None, 100, 5, 500, 0.401 , 2.4min
entropy, 5, None, 100, 10, 200, 0.412 ,  57.4s
entropy, 5, None, 100, 20, 200, 0.407 , 1.1min
entropy, 5, None, 100, 20, 200, 0.416 ,  58.0s
entropy, 5, None, 100, 20, 1000, 0.413 , 4.6min
entropy, 5, sqrt, 1, 10, 500, 0.234 , 1.0min
entropy, 5, sqrt, 1, 20, 500, 0.234 , 1.0min
entropy, 5, sqrt, 5, 2, 200, 0.239 ,  23.0s
entropy, 5, sqrt, 5, 5, 200, 0.236 ,  28.0s
entropy, 5, sqrt, 5, 5, 200, 0.234 ,  23.7s
entropy, 5, sqrt, 5, 5, 1000, 0.234 , 2.0min
entropy, 5, sqrt, 5, 20, 500, 0.239 , 1.0min
entropy, 5, sqrt, 20, 2, 500, 0.241 ,  59.5s
entropy, 5, sqrt, 20, 5, 500, 0.241 , 1.0min
entropy, 5, sqrt, 20, 10, 500, 0.238 ,  59.2s
entropy, 5, sqrt, 20, 20, 500, 0.236 ,  59.7s
entropy, 5, sqrt, 50, 2, 500, 0.234 ,  59.3s
entropy, 5, sqrt, 50, 5, 200, 0.234 ,  22.2s
entropy, 5, sqrt, 50, 5, 1000, 0.236 , 1.9min
entropy, 5, sqrt, 50, 20, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 100, 5, 500, 0.234 ,  59.5s
entropy, 5, sqrt, 100, 10, 500, 0.234 ,  57.4s
entropy, 5, sqrt, 100, 20, 500, 0.234 ,  58.0s
entropy, 5, log2, 1, 2, 200, 0.238 ,  21.5s
entropy, 5, log2, 1, 2, 1000, 0.239 , 1.9min
entropy, 5, log2, 1, 10, 1000, 0.238 , 2.0min
entropy, 5, log2, 5, 2, 500, 0.238 , 1.0min
entropy, 5, log2, 5, 5, 500, 0.241 , 1.0min
entropy, 5, log2, 5, 10, 500, 0.239 ,  59.8s
entropy, 5, log2, 5, 20, 500, 0.238 , 1.0min
entropy, 5, log2, 20, 2, 500, 0.240 ,  59.8s
entropy, 5, log2, 20, 5, 500, 0.238 ,  59.7s
entropy, 5, log2, 20, 10, 200, 0.234 ,  22.5s
entropy, 5, log2, 20, 10, 1000, 0.238 , 1.9min
entropy, 5, log2, 50, 2, 1000, 0.234 , 1.9min
entropy, 5, None, 1, 10, 1000, 0.436 , 4.8min
entropy, 5, None, 5, 2, 500, 0.428 , 2.4min
entropy, 5, None, 5, 5, 500, 0.445 , 2.5min
entropy, 5, None, 5, 10, 200, 0.426 ,  56.3s
entropy, 5, None, 5, 10, 1000, 0.439 , 4.8min
entropy, 5, None, 20, 2, 1000, 0.432 , 4.8min
entropy, 5, None, 20, 10, 500, 0.440 , 2.4min
entropy, 5, None, 20, 20, 500, 0.431 , 2.5min
entropy, 5, None, 50, 2, 200, 0.432 ,  56.8s
entropy, 5, None, 50, 2, 1000, 0.436 , 4.7min
entropy, 5, None, 50, 10, 1000, 0.428 , 4.7min
entropy, 5, None, 100, 2, 500, 0.411 , 2.4min
entropy, 5, None, 100, 5, 500, 0.405 , 2.4min
entropy, 5, None, 100, 10, 200, 0.405 ,  54.3s
entropy, 5, None, 100, 10, 1000, 0.411 , 4.6min
entropy, 5, sqrt, 1, 2, 1000, 0.239 , 2.0min
entropy, 5, sqrt, 1, 10, 200, 0.239 ,  24.1s
entropy, 5, sqrt, 1, 10, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 5, 2, 500, 0.238 ,  58.1s
entropy, 5, sqrt, 5, 5, 200, 0.239 ,  22.3s
entropy, 5, sqrt, 5, 10, 200, 0.239 ,  26.4s
entropy, 5, sqrt, 5, 10, 200, 0.234 ,  22.8s
entropy, 5, sqrt, 5, 10, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 20, 2, 200, 0.238 ,  21.1s
entropy, 5, sqrt, 20, 2, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 20, 10, 1000, 0.238 , 1.9min
entropy, 5, sqrt, 50, 2, 500, 0.234 ,  58.3s
entropy, 5, sqrt, 50, 5, 200, 0.234 ,  21.1s
entropy, 5, sqrt, 50, 5, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 50, 20, 1000, 0.238 , 1.9min
entropy, 5, sqrt, 100, 5, 500, 0.234 ,  57.5s
entropy, 5, sqrt, 100, 10, 200, 0.234 ,  21.9s
entropy, 5, sqrt, 100, 10, 1000, 0.234 , 1.9min
entropy, 5, log2, 1, 2, 1000, 0.238 , 1.9min
entropy, 5, log2, 1, 10, 500, 0.234 ,  58.7s
entropy, 5, log2, 1, 20, 200, 0.236 ,  21.6s
entropy, 5, log2, 1, 20, 1000, 0.236 , 1.9min
entropy, 5, log2, 5, 5, 1000, 0.238 , 1.9min
entropy, 5, log2, 5, 20, 200, 0.239 ,  22.1s
entropy, 5, log2, 20, 2, 200, 0.236 ,  27.8s
entropy, 5, log2, 20, 2, 200, 0.234 ,  23.4s
entropy, 5, log2, 20, 2, 1000, 0.234 , 1.9min
entropy, 5, log2, 20, 10, 500, 0.241 ,  59.5s
entropy, 5, log2, 20, 20, 500, 0.234 , 1.0min
entropy, 5, log2, 50, 2, 500, 0.234 ,  59.7s
entropy, 5, log2, 50, 5, 500, 0.234 ,  58.6s
entropy, 5, log2, 50, 10, 500, 0.234 ,  59.3s
entropy, 5, None, 20, 2, 500, 0.434 , 2.4min
entropy, 5, None, 20, 5, 500, 0.428 , 2.4min
entropy, 5, None, 20, 10, 200, 0.427 ,  57.6s
entropy, 5, None, 20, 10, 1000, 0.434 , 4.8min
entropy, 5, None, 50, 2, 1000, 0.432 , 4.7min
entropy, 5, None, 50, 10, 500, 0.428 , 2.4min
entropy, 5, None, 50, 20, 200, 0.432 ,  55.6s
entropy, 5, None, 50, 20, 1000, 0.431 , 4.7min
entropy, 5, None, 100, 5, 1000, 0.402 , 4.6min
entropy, 5, None, 100, 20, 500, 0.407 , 2.4min
entropy, 5, sqrt, 1, 2, 500, 0.238 , 1.0min
entropy, 5, sqrt, 1, 5, 200, 0.238 ,  25.6s
entropy, 5, sqrt, 1, 5, 1000, 0.238 , 1.9min
entropy, 5, sqrt, 1, 20, 200, 0.240 ,  25.1s
entropy, 5, sqrt, 1, 20, 500, 0.239 ,  58.5s
entropy, 5, sqrt, 5, 2, 1000, 0.234 , 2.0min
entropy, 5, sqrt, 5, 10, 500, 0.234 ,  58.9s
entropy, 5, sqrt, 5, 20, 200, 0.234 ,  22.4s
entropy, 5, sqrt, 20, 2, 200, 0.238 ,  27.4s
entropy, 5, sqrt, 20, 2, 200, 0.234 ,  23.9s
entropy, 5, sqrt, 20, 2, 1000, 0.238 , 1.9min
entropy, 5, sqrt, 20, 10, 500, 0.234 ,  58.2s
entropy, 5, sqrt, 20, 20, 500, 0.234 ,  58.3s
entropy, 5, sqrt, 50, 2, 200, 0.236 ,  22.4s
entropy, 5, sqrt, 50, 2, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 50, 10, 1000, 0.238 , 1.9min
entropy, 5, sqrt, 100, 2, 200, 0.234 ,  22.6s
entropy, 5, sqrt, 100, 5, 200, 0.234 ,  26.2s
entropy, 5, sqrt, 100, 5, 200, 0.234 ,  23.8s
entropy, 5, sqrt, 100, 5, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 100, 20, 500, 0.234 ,  57.1s
entropy, 5, log2, 1, 2, 200, 0.234 ,  22.3s
entropy, 5, log2, 1, 5, 200, 0.238 ,  26.6s
entropy, 5, log2, 1, 5, 200, 0.234 ,  24.2s
entropy, 5, log2, 1, 5, 1000, 0.238 , 1.9min
entropy, 5, log2, 1, 20, 500, 0.238 ,  59.9s
entropy, 5, log2, 5, 2, 500, 0.234 ,  58.6s
entropy, 5, log2, 5, 5, 200, 0.236 ,  21.9s
entropy, 5, log2, 5, 5, 1000, 0.241 , 1.9min
entropy, 5, log2, 5, 20, 1000, 0.238 , 1.9min
entropy, 5, log2, 20, 5, 500, 0.238 ,  59.0s
entropy, 5, log2, 20, 10, 500, 0.238 ,  59.2s
entropy, 5, log2, 20, 20, 200, 0.234 ,  21.9s
entropy, 5, log2, 20, 20, 1000, 0.234 , 1.9min
entropy, 5, log2, 50, 5, 1000, 0.236 , 1.9min
entropy, 5, log2, 50, 20, 500, 0.236 ,  58.4s
entropy, 5, log2, 100, 2, 500, 0.234 ,  58.5s
entropy, 5, None, 5, 20, 1000, 0.433 , 4.8min
entropy, 5, None, 20, 5, 1000, 0.442 , 4.8min
entropy, 5, None, 20, 20, 500, 0.439 , 2.5min
entropy, 5, None, 50, 2, 500, 0.435 , 2.4min
entropy, 5, None, 50, 5, 200, 0.433 ,  57.1s
entropy, 5, None, 50, 5, 1000, 0.434 , 4.8min
entropy, 5, None, 50, 20, 1000, 0.427 , 4.8min
entropy, 5, None, 100, 5, 500, 0.403 , 2.4min
entropy, 5, None, 100, 10, 500, 0.408 , 2.4min
entropy, 5, None, 100, 20, 500, 0.403 , 2.4min
entropy, 5, sqrt, 1, 2, 500, 0.234 ,  59.5s
entropy, 5, sqrt, 1, 5, 200, 0.238 ,  25.8s
entropy, 5, sqrt, 1, 5, 500, 0.234 , 1.0min
entropy, 5, sqrt, 1, 10, 200, 0.234 ,  24.4s
entropy, 5, sqrt, 1, 10, 1000, 0.236 , 1.9min
entropy, 5, sqrt, 5, 2, 500, 0.238 ,  58.8s
entropy, 5, sqrt, 5, 5, 500, 0.234 ,  59.5s
entropy, 5, sqrt, 5, 10, 200, 0.238 ,  21.8s
entropy, 5, sqrt, 5, 20, 200, 0.236 ,  27.1s
entropy, 5, sqrt, 5, 20, 200, 0.234 ,  24.0s
entropy, 5, sqrt, 5, 20, 1000, 0.238 , 1.9min
entropy, 5, sqrt, 20, 5, 500, 0.234 ,  58.7s
entropy, 5, sqrt, 20, 10, 200, 0.234 ,  22.6s
entropy, 5, sqrt, 20, 10, 1000, 0.236 , 1.9min
entropy, 5, sqrt, 50, 2, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 50, 10, 500, 0.234 ,  59.4s
entropy, 5, sqrt, 50, 20, 500, 0.236 ,  58.4s
entropy, 5, sqrt, 100, 2, 500, 0.234 ,  58.6s
entropy, 5, sqrt, 100, 5, 500, 0.234 ,  57.4s
entropy, 5, sqrt, 100, 10, 200, 0.234 ,  22.4s
entropy, 5, sqrt, 100, 10, 1000, 0.234 , 1.9min
entropy, 5, log2, 1, 2, 1000, 0.234 , 1.9min
entropy, 5, log2, 1, 10, 500, 0.234 ,  58.9s
entropy, 5, log2, 1, 20, 200, 0.238 ,  23.0s
entropy, 5, log2, 5, 2, 200, 0.239 ,  26.8s
entropy, 5, log2, 5, 2, 200, 0.234 ,  24.3s
entropy, 5, log2, 5, 2, 1000, 0.234 , 1.9min
entropy, 5, log2, 5, 10, 500, 0.236 , 1.0min
entropy, 5, log2, 5, 20, 500, 0.234 ,  58.9s
entropy, 5, log2, 20, 2, 200, 0.240 ,  21.7s
entropy, 5, log2, 20, 2, 1000, 0.234 , 1.9min
entropy, 5, log2, 20, 10, 1000, 0.234 , 1.9min
entropy, 5, log2, 50, 2, 500, 0.239 ,  58.1s
entropy, 5, log2, 50, 5, 500, 0.236 ,  58.4s
entropy, 5, log2, 50, 10, 200, 0.236 ,  21.7s
entropy, 5, log2, 50, 10, 1000, 0.234 , 1.9min
entropy, 5, log2, 100, 2, 1000, 0.234 , 1.9min
entropy, 5, None, 50, 2, 500, 0.435 , 2.4min
entropy, 5, None, 50, 5, 500, 0.431 , 2.4min
entropy, 5, None, 50, 10, 200, 0.432 ,  56.3s
entropy, 5, None, 50, 20, 200, 0.424 , 1.1min
entropy, 5, None, 50, 20, 200, 0.426 ,  60.0s
entropy, 5, None, 50, 20, 1000, 0.427 , 4.8min
entropy, 5, None, 100, 5, 500, 0.413 , 2.4min
entropy, 5, None, 100, 10, 200, 0.408 ,  56.3s
entropy, 5, None, 100, 10, 1000, 0.405 , 4.7min
entropy, 5, sqrt, 1, 5, 200, 0.238 ,  27.0s
entropy, 5, sqrt, 1, 5, 200, 0.234 ,  25.4s
entropy, 5, sqrt, 1, 5, 500, 0.239 , 1.0min
entropy, 5, sqrt, 1, 10, 500, 0.234 ,  57.9s
entropy, 5, sqrt, 1, 20, 200, 0.239 ,  25.4s
entropy, 5, sqrt, 1, 20, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 5, 5, 500, 0.234 , 1.0min
entropy, 5, sqrt, 5, 10, 500, 0.234 ,  58.6s
entropy, 5, sqrt, 5, 20, 200, 0.239 ,  21.0s
entropy, 5, sqrt, 5, 20, 1000, 0.238 , 1.9min
entropy, 5, sqrt, 20, 5, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 20, 20, 500, 0.238 ,  59.4s
entropy, 5, sqrt, 50, 2, 500, 0.236 ,  58.8s
entropy, 5, sqrt, 50, 5, 200, 0.234 ,  21.5s
entropy, 5, sqrt, 50, 10, 200, 0.236 ,  26.9s
entropy, 5, sqrt, 50, 10, 200, 0.234 ,  23.2s
entropy, 5, sqrt, 50, 10, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 100, 2, 500, 0.234 ,  57.0s
entropy, 5, sqrt, 100, 5, 200, 0.234 ,  22.4s
entropy, 5, sqrt, 100, 5, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 100, 20, 1000, 0.234 , 1.9min
entropy, 5, log2, 1, 5, 500, 0.234 , 1.0min
entropy, 5, log2, 1, 10, 200, 0.234 ,  22.7s
entropy, 5, log2, 1, 10, 1000, 0.238 , 1.9min
entropy, 5, log2, 5, 2, 1000, 0.238 , 1.9min
entropy, 5, log2, 5, 10, 500, 0.234 ,  58.4s
entropy, 5, log2, 5, 20, 500, 0.238 ,  59.7s
entropy, 5, log2, 20, 2, 200, 0.234 ,  22.4s
entropy, 5, log2, 20, 2, 1000, 0.236 , 1.9min
entropy, 5, log2, 20, 10, 1000, 0.238 , 1.9min
entropy, 5, log2, 50, 2, 500, 0.234 ,  59.4s
entropy, 5, log2, 50, 5, 500, 0.234 ,  58.0s
entropy, 5, log2, 50, 10, 500, 0.236 ,  59.9s
entropy, 5, log2, 50, 20, 200, 0.238 ,  22.1s
entropy, 5, log2, 100, 2, 200, 0.234 ,  27.2s
entropy, 5, log2, 100, 2, 200, 0.234 ,  23.4s
entropy, 5, log2, 100, 2, 1000, 0.234 , 1.9min
entropy, 5, log2, 100, 10, 500, 0.234 ,  58.8s
entropy, 5, None, 20, 5, 200, 0.434 ,  57.0s
entropy, 5, None, 20, 5, 1000, 0.438 , 4.8min
entropy, 5, None, 20, 20, 1000, 0.432 , 4.8min
entropy, 5, None, 50, 5, 500, 0.432 , 2.4min
entropy, 5, None, 50, 10, 500, 0.432 , 2.4min
entropy, 5, None, 50, 20, 500, 0.424 , 2.4min
entropy, 5, None, 100, 2, 200, 0.396 ,  56.2s
entropy, 5, None, 100, 2, 1000, 0.410 , 4.7min
entropy, 5, None, 100, 10, 1000, 0.412 , 4.7min
entropy, 5, sqrt, 1, 2, 1000, 0.234 , 2.0min
entropy, 5, sqrt, 1, 5, 1000, 0.236 , 1.8min
entropy, 5, sqrt, 5, 2, 200, 0.238 ,  26.8s
entropy, 5, sqrt, 5, 2, 200, 0.236 ,  23.1s
entropy, 5, sqrt, 5, 2, 1000, 0.236 , 1.9min
entropy, 5, sqrt, 5, 10, 500, 0.234 , 1.0min
entropy, 5, sqrt, 5, 20, 500, 0.234 ,  59.3s
entropy, 5, sqrt, 20, 2, 500, 0.238 ,  59.5s
entropy, 5, sqrt, 20, 5, 200, 0.234 ,  21.9s
entropy, 5, sqrt, 20, 5, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 20, 20, 1000, 0.238 , 1.9min
entropy, 5, sqrt, 50, 5, 500, 0.234 ,  59.5s
entropy, 5, sqrt, 50, 10, 500, 0.234 ,  58.2s
entropy, 5, sqrt, 50, 20, 500, 0.234 ,  58.1s
entropy, 5, sqrt, 100, 2, 200, 0.234 ,  21.5s
entropy, 5, sqrt, 100, 2, 1000, 0.234 , 1.9min
entropy, 5, sqrt, 100, 10, 1000, 0.234 , 1.9min
entropy, 5, log2, 1, 2, 500, 0.234 ,  58.8s
entropy, 5, log2, 1, 5, 500, 0.238 ,  58.7s
entropy, 5, log2, 1, 10, 200, 0.241 ,  22.2s
entropy, 5, log2, 1, 10, 1000, 0.234 , 1.9min
entropy, 5, log2, 5, 2, 1000, 0.238 , 1.9min
entropy, 5, log2, 5, 10, 500, 0.238 ,  58.2s
entropy, 5, log2, 5, 20, 200, 0.234 ,  22.1s
entropy, 5, log2, 5, 20, 1000, 0.238 , 1.9min
entropy, 5, log2, 20, 5, 1000, 0.234 , 1.9min
entropy, 5, log2, 20, 20, 500, 0.236 ,  58.1s
entropy, 5, log2, 50, 2, 200, 0.234 ,  22.2s
entropy, 5, log2, 50, 2, 1000, 0.234 , 1.9min
entropy, 5, log2, 50, 10, 1000, 0.234 , 1.9min
entropy, 5, log2, 100, 2, 500, 0.234 ,  58.0s
entropy, 5, log2, 100, 5, 500, 0.234 ,  57.4s
entropy, 5, log2, 100, 10, 200, 0.234 ,  22.3s
entropy, 5, log2, 100, 10, 1000, 0.234 , 1.9min
entropy, 10, None, 1, 2, 500, 0.664 , 3.8min
entropy, 10, None, 1, 10, 200, 0.680 , 1.6min
entropy, 10, None, 1, 10, 200, 0.661 , 1.6min
entropy, 10, None, 1, 10, 500, 0.684 , 3.9min
entropy, 5, log2, 1, 10, 500, 0.236 ,  59.6s
entropy, 5, log2, 1, 20, 500, 0.238 ,  58.7s
entropy, 5, log2, 5, 2, 200, 0.238 ,  22.1s
entropy, 5, log2, 5, 2, 1000, 0.234 , 1.9min
entropy, 5, log2, 5, 10, 1000, 0.234 , 1.9min
entropy, 5, log2, 20, 2, 500, 0.234 ,  58.5s
entropy, 5, log2, 20, 5, 200, 0.238 ,  22.1s
entropy, 5, log2, 20, 5, 1000, 0.236 , 1.9min
entropy, 5, log2, 20, 20, 1000, 0.236 , 1.9min
entropy, 5, log2, 50, 5, 500, 0.236 ,  57.4s
entropy, 5, log2, 50, 10, 200, 0.236 ,  20.6s
entropy, 5, log2, 50, 10, 1000, 0.234 , 1.9min
entropy, 5, log2, 100, 2, 1000, 0.234 , 1.9min
entropy, 5, log2, 100, 10, 500, 0.234 ,  58.5s
entropy, 5, log2, 100, 20, 200, 0.234 ,  21.2s
entropy, 10, None, 1, 2, 200, 0.676 , 1.5min
entropy, 10, None, 1, 2, 1000, 0.618 , 7.6min
entropy, 10, None, 1, 10, 1000, 0.603 , 7.6min
entropy, 10, None, 5, 2, 500, 0.666 , 3.8min
entropy, 10, None, 5, 5, 500, 0.678 , 3.9min
entropy, 10, None, 5, 10, 500, 0.654 , 3.8min
entropy, 10, None, 5, 20, 200, 0.599 , 1.5min
entropy, 10, None, 20, 2, 200, 0.562 , 1.6min
entropy, 10, None, 20, 2, 200, 0.589 , 1.5min
entropy, 10, None, 20, 2, 1000, 0.581 , 7.4min
entropy, 10, None, 20, 10, 500, 0.579 , 3.7min
entropy, 10, None, 20, 20, 200, 0.586 , 1.4min
entropy, 10, None, 20, 20, 1000, 0.560 , 7.4min
entropy, 10, None, 50, 5, 1000, 0.535 , 7.0min
entropy, 10, None, 50, 20, 500, 0.534 , 3.6min
entropy, 10, None, 100, 2, 500, 0.486 , 3.4min
entropy, 10, None, 100, 5, 200, 0.484 , 1.3min
entropy, 10, None, 100, 5, 1000, 0.486 , 6.7min
entropy, 10, None, 100, 20, 1000, 0.471 , 6.5min
entropy, 10, sqrt, 1, 10, 200, 0.617 ,  39.2s
entropy, 10, sqrt, 1, 10, 1000, 0.605 , 3.1min
entropy, 10, sqrt, 5, 2, 500, 0.560 , 1.6min
entropy, 10, sqrt, 5, 5, 500, 0.549 , 1.6min
entropy, 10, sqrt, 5, 10, 200, 0.564 ,  36.2s
entropy, 10, sqrt, 5, 10, 1000, 0.545 , 3.1min
entropy, 10, sqrt, 20, 2, 1000, 0.493 , 3.0min
entropy, 10, sqrt, 20, 10, 500, 0.510 , 1.6min
entropy, 10, sqrt, 20, 20, 500, 0.513 , 1.6min
entropy, 10, sqrt, 50, 2, 200, 0.441 ,  33.9s
entropy, 10, sqrt, 50, 2, 1000, 0.431 , 2.9min
entropy, 10, sqrt, 50, 10, 1000, 0.459 , 2.9min
entropy, 10, sqrt, 100, 2, 200, 0.340 ,  31.8s
entropy, 5, log2, 50, 20, 200, 0.236 ,  21.8s
entropy, 5, log2, 50, 20, 1000, 0.234 , 1.9min
entropy, 5, log2, 100, 5, 1000, 0.234 , 1.9min
entropy, 5, log2, 100, 20, 500, 0.234 ,  58.2s
entropy, 10, None, 1, 2, 500, 0.672 , 3.8min
entropy, 10, None, 1, 5, 1000, 0.616 , 7.7min
entropy, 10, None, 1, 20, 500, 0.643 , 3.9min
entropy, 10, None, 5, 2, 500, 0.606 , 3.9min
entropy, 10, None, 5, 5, 500, 0.653 , 3.9min
entropy, 10, None, 5, 10, 200, 0.633 , 1.5min
entropy, 10, None, 5, 10, 1000, 0.665 , 7.6min
entropy, 10, None, 20, 2, 1000, 0.553 , 7.4min
entropy, 10, None, 20, 10, 500, 0.556 , 3.8min
entropy, 10, None, 20, 20, 500, 0.586 , 3.8min
entropy, 10, None, 50, 2, 200, 0.531 , 1.4min
entropy, 10, None, 50, 5, 200, 0.542 , 1.6min
entropy, 10, None, 50, 5, 200, 0.538 , 1.5min
entropy, 10, None, 50, 5, 1000, 0.537 , 7.1min
entropy, 10, None, 50, 20, 500, 0.532 , 3.6min
entropy, 10, None, 100, 2, 200, 0.483 , 1.4min
entropy, 10, None, 100, 5, 200, 0.490 , 1.4min
entropy, 10, None, 100, 5, 200, 0.486 , 1.4min
entropy, 10, None, 100, 5, 500, 0.480 , 3.4min
entropy, 10, None, 100, 10, 500, 0.486 , 3.4min
entropy, 10, None, 100, 20, 200, 0.477 , 1.3min
entropy, 10, sqrt, 1, 2, 200, 0.602 ,  42.4s
entropy, 10, sqrt, 1, 2, 200, 0.566 ,  43.8s
entropy, 10, sqrt, 1, 2, 200, 0.538 ,  43.3s
entropy, 10, sqrt, 1, 2, 500, 0.567 , 1.6min
entropy, 10, sqrt, 1, 5, 200, 0.606 ,  43.0s
entropy, 10, sqrt, 1, 5, 500, 0.605 , 1.6min
entropy, 10, sqrt, 1, 10, 500, 0.614 , 1.6min
entropy, 10, sqrt, 1, 20, 500, 0.552 , 1.6min
entropy, 10, sqrt, 5, 2, 200, 0.518 ,  37.9s
entropy, 10, sqrt, 5, 2, 1000, 0.534 , 3.1min
entropy, 10, sqrt, 5, 10, 500, 0.565 , 1.6min
entropy, 10, sqrt, 5, 20, 500, 0.549 , 1.6min
entropy, 10, sqrt, 20, 2, 200, 0.500 ,  35.6s
entropy, 10, sqrt, 20, 5, 200, 0.522 ,  41.4s
entropy, 10, sqrt, 20, 5, 200, 0.519 ,  37.7s
entropy, 10, sqrt, 20, 5, 1000, 0.521 , 3.0min
